validScientificName,family.ORIG,biodiversityRelevance,nectarProduction,heatRequirement,coldRequirement,tempOptimum,continentality,light,moisture,soilReaction,nitrogen,phosphorus,salinity,grazing.Mowing,soilDisturbance,longevity,pollinatorDependence,phenology,extremePhenology,seedDormancy,seedBank,seedDisperser,nitrogenFixation,photosyntheticPathway,mycorrhiza,carnivory,parasitism,siliceousRock,ultrabasicRock,calcareousRock,dryHeath,dryMeadow,steppicMeadow,sandSteppe,moistHeath,moistMeadow,moistCalcareousMeadow,raisedBog,poor.AcidicFen,intermediate.RichFen,rich.CalcareousFen,tallHerb.Sedge.ReedMeadow,oligotrophicWater.Shores,mesotrophicWater.Shores,eutrophicWater.Shores,sandy.Stony.RockySeaShores,seaShoreMeadows,base.PoorWasteland,base.RichWasteland,arableLand,gravellyGround,ruderal,hedgerows.Thickets.Wood.MarginsandGroves,heath.TypeDeciduousForest,intermediateDeciduousForest,herb.RichDeciduousForest,alnusGlutinosaSwamp,fraxinus.Ulmus.AlnusIncanaSwamp,pinus.BetulaSwamp,piceaSwamp,heath.TypeConiferousForest,vaccinium.TypeConiferousForest,herb.RichConiferousForest,cacareousConiferForest,subalpineBetulaForest,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Achillea crithmifolia Waldst. & Kit.,Asteraceae,1,6,12,,,6,7,2,5,4,3,1,3,,4,2,,,2,,Passive,0,C3,AM,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Achillea crithmifolia Waldst. & Kit.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,15,8,1,wfo-0000058002,urn:lsid:ipni.org:names:174104-1,GCC-F09F8446-6607-4D93-859E-F299355188D3,Achillea micrantha,species,wfo-4000000214,Willd.,Asteraceae,"","",,Achillea,"",micrantha,"",species,Valid,"Sp. Pl., ed. 4 , 3: 2209 (1803)",Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl., ed. 4 [Willdenow] 3(3): 2209. 1803 [Apr-Dec 1803]  to Sp. Pl., ed. 4 , 3: 2209 (1803), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.t",http://www.theplantlist.org/tpl1.1/record/gcc-156704,The Asteraceaae TEN,A,gcc-156704,"",TRUE,Synonym,wfo-0000016011,Achillea crithmifolia
Achillea crithmifolia Waldst. & Kit.,Asteraceae,1,6,12,,,6,7,2,5,4,3,1,3,,4,2,,,2,,Passive,0,C3,AM,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Achillea crithmifolia Waldst. & Kit.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,15,8,2,wfo-0000126556,urn:lsid:ipni.org:names:173918-1,GCC-A9371D00-EF31-40FF-BA38-7D988DD5E593,Achillea crithmifolia,species,wfo-4000000214,Waldst. & Kit.,Asteraceae,"","",,Achillea,"",crithmifolia,"",species,Valid,"Descr. Icon. Pl. Hung. 1: 68, t. 66 (1799-1802)",Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Descr. Icon. Pl. Hung. 1: 68, t. 66. [1799-1802]  to Descr. Icon. Pl. Hung. 1: 68, t. 66 (1799-1802), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:/",http://www.theplantlist.org/tpl1.1/record/gcc-87582,The Asteraceaae TEN,A,gcc-87582,"",FALSE,"","",""
Achillea filipendulina Lam.,Asteraceae,4,6,12,3,4,8,6,2,6,4,4,2,3,,4,2,10,3,2,,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Achillea filipendulina Lam.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,5,9,1,wfo-0000041091,urn:lsid:ipni.org:names:173972-1,GCC-1FC9B286-F684-4896-8D71-F36B262C3499,Achillea filipendulina,species,wfo-4000000214,Lam.,Asteraceae,"","",,Achillea,"",filipendulina,"",species,Valid,Encycl. 1: 27 (1783),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Encycl. [J. Lamarck & al.] 1(1): 27. 1783 [2 Dec 1783]  to Encycl. 1: 27 (1783), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org",http://www.theplantlist.org/tpl1.1/record/gcc-139741,The Asteraceaae TEN,A,gcc-139741,"",FALSE,"","",""
Achillea millefolium L.,Asteraceae,6,6,3,3,9,5,6,2,5,5,5,2,5,2,4,2,8,1,2,3,Myr,0,C3,AM,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Achillea millefolium L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,10,1,wfo-0000042097,urn:lsid:ipni.org:names:2294-2,GCC-40160FE1-53D5-4C15-9595-F5B87A104673,Achillea millefolium,species,wfo-4000000214,L.,Asteraceae,"","",,Achillea,"",millefolium,"",species,Valid,Sp. Pl. : 899 (1753),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 2 899 1753  to Sp. Pl. : 899 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-140712 >The Plant",http://www.theplantlist.org/tpl1.1/record/gcc-140712,The Asteraceaae TEN,A,gcc-140712,"",FALSE,"","",""
Achillea ptarmica L.,Asteraceae,5,6,4,3,8,4,5,6,4,4,3,1,4,2,4,2,9,2,2,2,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Achillea ptarmica L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,11,1,wfo-0000033807,urn:lsid:ipni.org:names:2336-2,GCC-991805AE-E8DB-4851-87D0-E3CE4469B956,Achillea ptarmica,species,wfo-4000000214,L.,Asteraceae,"","",,Achillea,"",ptarmica,"",species,Valid,Sp. Pl. : 898 (1753),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 898 1753  to Sp. Pl. : 898 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-132682 >The Plant L",http://www.theplantlist.org/tpl1.1/record/gcc-132682,The Asteraceaae TEN,A,gcc-132682,"",TRUE,Synonym,wfo-0000017844,Achillea ptarmica f. ptarmica
Aconitum × stoerkianum Rchb.,Ranunculaceae,2,6,7,4,8,5,5,7,5,6,3,1,3,3,4,0a,11,4,X,,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aconitum × stoerkianum Rchb.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,970,TRUE,FALSE,,12,1,"",,,,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","",""
Aconitum lycoctonum L.,Ranunculaceae,2,6,3,11,14,6,4,5,7,7,5,1,3,2,4,1b,,,4,,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,Aconitum lycoctonum L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,13,1,wfo-0000517589,urn:lsid:ipni.org:names:707564-1,751394,Aconitum lycoctonum,species,wfo-4000000341,L.,Ranunculaceae,"","",,Aconitum,"",lycoctonum,"",species,Valid,Sp. Pl. : 532 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1: 532. 1753 [1 May 1753]  to Sp. Pl. : 532 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-26",http://www.theplantlist.org/tpl1.1/record/kew-2619019,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2619019,"",FALSE,"","",""
Aconitum lycoctonum L.,Ranunculaceae,2,6,3,11,14,6,4,5,7,7,5,1,3,2,4,1b,,,4,,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,Aconitum lycoctonum L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,13,2,wfo-0000517812,urn:lsid:ipni.org:names:707662-1,751644,Aconitum orientale,species,wfo-4000000341,Mill.,Ranunculaceae,"","",,Aconitum,"",orientale,"",species,Valid,Gard. Dict. ed. 8 : n.º 10 (1768),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Gard. Dict., ed. 8. n. 10. 1768 [16 Apr 1768]  to Gard. Dict. ed. 8 : n.º 10 (1768), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis",http://www.theplantlist.org/tpl1.1/record/kew-2619270,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2619270,"",TRUE,Synonym,wfo-0000517591,Aconitum lycoctonum
Aconitum napellus L.,Ranunculaceae,3,6,9,3,6,4,5,7,6,6,4,1,3,3,4,"",11,4,3,,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aconitum napellus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,14,1,wfo-0000517247,urn:lsid:ipni.org:names:707355-1,751075,Aconitum firmum,species,wfo-4000000341,Rchb.,Ranunculaceae,"","",,Aconitum,"",firmum,"",species,Valid,Uebers. Aconitum : 20 (1819),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Uebers. Aconitum 20. 1819 [28 Mar 1819]  to Uebers. Aconitum : 20 (1819), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1",http://www.theplantlist.org/tpl1.1/record/kew-2618699,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2618699,"",TRUE,Synonym,wfo-0000517691,Aconitum napellus f. abnorme
Aconitum napellus L.,Ranunculaceae,3,6,9,3,6,4,5,7,6,6,4,1,3,3,4,"",11,4,3,,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aconitum napellus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,14,2,wfo-0000517718,urn:lsid:ipni.org:names:965466-1,751539,Aconitum napellus  subsp. lobelii,subspecies,wfo-0000517688,Mucher,Ranunculaceae,"","",,Aconitum,"",napellus,lobelii,subspecies,Valid,Phyton (Horn) 31: 130 (1991),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Phyton (Horn) 31(1): 130. 1991  to Phyton (Horn) 31: 130 (1991), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/k",http://www.theplantlist.org/tpl1.1/record/kew-2619165,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2619165,"",TRUE,Synonym,wfo-0000517693,Aconitum napellus f. albidum
Aconitum napellus L.,Ranunculaceae,3,6,9,3,6,4,5,7,6,6,4,1,3,3,4,"",11,4,3,,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aconitum napellus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,14,3,wfo-0000517141,urn:lsid:ipni.org:names:77062910-1,750971,Aconitum × czarnohorense,species,wfo-4000000341,(Zapał.) Mitka,Ranunculaceae,"","",,Aconitum,"",czarnohorense,"",species,Valid,Gen. Aconitum Poland : 77 (2003),Accepted,"",wfo-0000517704,,"Source in seed data: cmp Updated scientificnameAuthorship from (Zapal.) Mitka to (Zapał.) Mitka, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2618595 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2618595,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2618595,×,TRUE,Synonym,wfo-0000517694,Aconitum napellus f. amoenum
Aconitum napellus L.,Ranunculaceae,3,6,9,3,6,4,5,7,6,6,4,1,3,3,4,"",11,4,3,,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aconitum napellus L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,14,4,wfo-0000517684,urn:lsid:ipni.org:names:707611-1,751481,Aconitum × nanum,species,wfo-4000000341,(Baumg.) Simonk.,Ranunculaceae,"","",,Aconitum,"",nanum,"",species,Valid,Enum. Fl. Transsilv. : 64 (1887),Accepted,"",wfo-0000517721,,"Source in seed data: cmp Update namepublishedIn from Enum. Fl. Transsilv. 64 1887  to Enum. Fl. Transsilv. : 64 (1887), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707611-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2619107,×,TRUE,Synonym,wfo-0000517721,Aconitum napellus var. nanum
