validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey,popularNameNO,establishmentClass,alienStatus,riskCategory
Artemisia vulgaris,L.,Tracheophyta,Asterales,Asteraceae,Artemisia,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be,burot,"",Etablert per år 1800,NR
Bergenia crassifolia,(L.) Fritsch,Tracheophyta,Saxifragales,Saxifragaceae,Bergenia,species,NE,10.426494,63.444473,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,spadebergblom,D1,Selvstendig reproduserende,HI
Bergenia crassifolia,(L.) Fritsch,Tracheophyta,Saxifragales,Saxifragaceae,Bergenia,species,NE,10.426494,63.444473,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,hjertebergblom,D1,Selvstendig reproduserende,HI
Campanula glomerata,L.,Tracheophyta,Asterales,Campanulaceae,Campanula,species,NE,10.4235,63.4454,1414,1904,Valid,Accepted,FALSE,"",Accepted,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,prakttoppklokke,E,Selvstendig reproduserende,HI
Cerastium biebersteinii,DC.,Tracheophyta,Caryophyllales,Caryophyllaceae,Cerastium,species,NE,10.425623,63.445658,5,2020,Valid,Accepted,TRUE,Cerastium biebersteinii subsp. transcaucasicum,"",b124e1e0-4755-430f-9eab-894f25a9b59c,sølvarve,E,Selvstendig reproduserende,SE
Cerastium tomentosum,L.,Tracheophyta,Caryophyllales,Caryophyllaceae,Cerastium,species,NE,10.4271,63.4441,10,2022,Valid,Accepted,FALSE,"",Not a synonym,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,filtarve,E,Selvstendig reproduserende,SE
Chenopodium album,L.,Tracheophyta,Caryophyllales,Amaranthaceae,Chenopodium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Chenopodium album f. dubium,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be,hønsemelde,C2,Selvstendig reproduserende,LO
Cotoneaster acutifolius,Turcz.,Tracheophyta,Rosales,Rosaceae,Cotoneaster,species,NE,10.427267,63.444047,5,2012,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,pekingmispel,C2,Selvstendig reproduserende,LO
Cotoneaster bullatus,Bois,Tracheophyta,Rosales,Rosaceae,Cotoneaster,species,NE,10.421859,63.445236,23,2021,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,bulkemispel,E,Selvstendig reproduserende,SE
Cotoneaster horizontalis,Decne.,Tracheophyta,Rosales,Rosaceae,Cotoneaster,species,NE,10.424545,63.444718,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,kinamispel,D2,Selvstendig reproduserende,SE
Cotoneaster horizontalis,Decne.,Tracheophyta,Rosales,Rosaceae,Cotoneaster,species,NE,10.424545,63.444718,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,mørkmispel,D2,Selvstendig reproduserende,SE
Cotoneaster horizontalis,Decne.,Tracheophyta,Rosales,Rosaceae,Cotoneaster,species,NE,10.424545,63.444718,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,krypmispel,D2,Selvstendig reproduserende,SE
Crataegus maximowiczii,C.K.Schneid.,Tracheophyta,Rosales,Rosaceae,Crataegus,species,NE,10.4236,63.445,7,2008,Valid,Accepted,TRUE,Crataegus sanguinea var. villosa,smallest ID,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,sibirhagtorn,D2,Selvstendig reproduserende,HI
Dactylis glomerata,L.,Tracheophyta,Poales,Poaceae,Dactylis,species,NE,10.422649,63.44469,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,hundegras,"",Etablert per år 1800,NR
Echium vulgare,L.,Tracheophyta,Boraginales,Boraginaceae,Echium,species,NE,10.427276,63.444076,5,2023,Valid,Accepted,TRUE,Echium vulgare f. vulgare,"",b124e1e0-4755-430f-9eab-894f25a9b59c,ormehode,"",Etablert per år 1800,NR
Erysimum cheiranthoides,L.,Tracheophyta,Brassicales,Brassicaceae,Erysimum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,stor åkergull,E,Selvstendig reproduserende,PH
Festuca rubra,L.,Tracheophyta,Poales,Poaceae,Festuca,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Festuca rubra f. rubra,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,engrødsvingel,E,Selvstendig reproduserende,SE
Festuca rubra,L.,Tracheophyta,Poales,Poaceae,Festuca,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Festuca rubra f. rubra,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,markrødsvingel,C3,Selvstendig reproduserende,LO
Festuca rubra,L.,Tracheophyta,Poales,Poaceae,Festuca,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Festuca rubra f. rubra,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,veirødsvingel,E,Selvstendig reproduserende,SE
Fragaria vesca,L.,Tracheophyta,Rosales,Rosaceae,Fragaria,species,NE,10.426494,63.444473,5,2020,Valid,Accepted,TRUE,Fragaria vesca f. alba,"",b124e1e0-4755-430f-9eab-894f25a9b59c,"",B2,Dørstokkart,LO
Hesperis matronalis,L.,Tracheophyta,Brassicales,Brassicaceae,Hesperis,species,NE,10.4235,63.4454,1414,1904,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,dagfiol,E,Selvstendig reproduserende,HI
Laburnum alpinum,(Mill.) Bercht. & J.Presl,Tracheophyta,Fabales,Fabaceae,Laburnum,species,LC,10.424,63.445,7,2005,Valid,Accepted,FALSE,"",smallest ID,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,alpegullregn,E,Selvstendig reproduserende,SE
Laburnum anagyroidis,Medik.,Tracheophyta,Fabales,Fabaceae,Laburnum,species,LC,10.425003,63.444272,10,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,gullregn,E,Selvstendig reproduserende,SE
Larix decidua,Mill.,Tracheophyta,Pinales,Pinaceae,Larix,species,LC,10.426153,63.444461,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,europalerk,E,Etablert per år 1800,NR
Lolium pratense,(Huds.) Darbysh.,Tracheophyta,Poales,Poaceae,Lolium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,engsvingel,"",Etablert per år 1800,NR
Malva moschata,L.,Tracheophyta,Malvales,Malvaceae,Malva,species,NE,10.425623,63.445658,5,2020,Valid,Accepted,TRUE,Malva moschata f. alba,"",b124e1e0-4755-430f-9eab-894f25a9b59c,moskuskattost,"",Etablert per år 1800,NR
Matricaria discoidea,DC.,Tracheophyta,Asterales,Asteraceae,Matricaria,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Matricaria discoidea subsp. discoidea,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,tunbalderbrå,E,Selvstendig reproduserende,PH
Matricaria discoidea,DC.,Tracheophyta,Asterales,Asteraceae,Matricaria,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Matricaria discoidea subsp. discoidea,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,tunbalderbrå,A,Dørstokkart,NK
Melilotus albus,Medik.,Tracheophyta,Fabales,Fabaceae,Melilotus,species,NE,10.425461,63.444108,25,2023,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,hvitsteinkløver,E,Selvstendig reproduserende,SE
Melilotus officinalis,(L.) Pall.,Tracheophyta,Fabales,Fabaceae,Melilotus,species,NE,10.4235,63.4454,1414,1904,Valid,Accepted,FALSE,"",smallest ID,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,legesteinkløver,E,Selvstendig reproduserende,SE
Myosotis sylvatica,Hoffm.,Tracheophyta,Boraginales,Boraginaceae,Myosotis,species,NE,10.4265,63.4449,71,1994,Valid,Accepted,FALSE,"",Accepted,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,skogforglemmegei,E,Selvstendig reproduserende,PH
Noccaea caerulescens,(J.Presl & C.Presl) F.K.Mey.,Tracheophyta,Brassicales,Brassicaceae,Noccaea,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,vårpengeurt,E,Selvstendig reproduserende,PH
Onoclea struthiopteris,Roth,Tracheophyta,Polypodiales,Onocleaceae,Onoclea,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Matteuccia struthiopteris,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,hageiris,C3,Selvstendig reproduserende,LO
Phalaris arundinacea,L.,Tracheophyta,Poales,Poaceae,Phalaris,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,båndgras,C2,Selvstendig reproduserende,LO
Phedimus spurius,(M.Bieb.) 't Hart,Tracheophyta,Saxifragales,Crassulaceae,Phedimus,species,NE,10.426494,63.444473,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,"",C1,Dørstokkart,LO
Phedimus spurius,(M.Bieb.) 't Hart,Tracheophyta,Saxifragales,Crassulaceae,Phedimus,species,NE,10.426494,63.444473,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,gravbergknapp,E,Selvstendig reproduserende,SE
Phleum pratense,L.,Tracheophyta,Poales,Poaceae,Phleum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Phleum pratense f. fallax,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,engtimotei,"",Etablert per år 1800,NR
Poa annua,L.,Tracheophyta,Poales,Poaceae,Poa,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Poa annua f. annua,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,tunrapp,C3,Selvstendig reproduserende,NK
Ranunculus repens,L.,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Ranunculus repens var. major,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,krypsoleie,C2,Selvstendig reproduserende,LO
Ribes sativum,Syme,Tracheophyta,Saxifragales,Grossulariaceae,Ribes,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,TRUE,Ribes rubrum var. sativum,"",b124e1e0-4755-430f-9eab-894f25a9b59c,hagerips,C2,Etablert per år 1800,NR
Ribes uva-crispa f. oblongum,(Kuntze) Soó,Tracheophyta,Saxifragales,Grossulariaceae,Ribes,form,NE,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,stikkelsbær,E,Selvstendig reproduserende,PH
Rorippa palustris,Besser,Tracheophyta,Brassicales,Brassicaceae,Rorippa,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,amerikabrønnkarse,C0,Økologisk effekt uten selvstendig reproduksjon innen 50 år,NK
Rosa villosa var. duplex,Weston,Tracheophyta,Rosales,Rosaceae,Rosa,variety,NE,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"",smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be,plommenype,A,Dørstokkart,NK
Rumex aquaticus  subsp. arcticus,(Trautv.) Hiitonen,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,subspecies,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Rumex longifolius var. nanus,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,høymol,C0,Dørstokkart,NK
Rumex thyrsiflorus,Fingerh.,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Rumex acetosa var. crispus,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be,matsyre,C3,Selvstendig reproduserende,LO
Sambucus racemosa f. nuda,H.Hara,Tracheophyta,Dipsacales,Viburnaceae,Sambucus,form,LC,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,buskhyll,E,Selvstendig reproduserende,SE
Scandosorbus intermedia,(Ehrh.) Sennikov,Tracheophyta,Rosales,"",Scandosorbus,species,NE,10.426871,63.44428,5,2020,"",Unchecked,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,svensk asal,C2,Etablert per år 1800,NR
Senecio viscosus,L.,Tracheophyta,Asterales,Asteraceae,Senecio,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be,klistersvineblom,E,Selvstendig reproduserende,SE
Stellaria media,(L.) Vill.,Tracheophyta,Caryophyllales,Caryophyllaceae,Stellaria,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,vassarve,C1,Dørstokkart,LO
Tanacetum vulgare  subsp. vulgare,"",Tracheophyta,Asterales,Asteraceae,Tanacetum,subspecies,NE,10.421715,63.445212,10,2020,Valid,Accepted,TRUE,Tanacetum vulgare f. crispum,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c,reinfann,C1,Dørstokkart,LO
Thuja occidentalis,L.,Tracheophyta,Pinales,Cupressaceae,Thuja,species,LC,10.4236,63.4449,7,2008,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,tuja,E,Selvstendig reproduserende,HI
Thymus praecox  subsp. praecox,"",Tracheophyta,Lamiales,Lamiaceae,Thymus,subspecies,,10.426494,63.444473,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,hagekryptimian,D2,Selvstendig reproduserende,LO
Trifolium pratense,L.,Tracheophyta,Fabales,Fabaceae,Trifolium,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,rødkløver,C0,Økologisk effekt uten selvstendig reproduksjon innen 50 år,NK
Trifolium repens,L.,Tracheophyta,Fabales,Fabaceae,Trifolium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Trifolium repens f. repens,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,hvitkløver,C0,Dørstokkart,NK
Urtica dioica,L.,Tracheophyta,Rosales,Urticaceae,Urtica,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Urtica dioica var. dioica,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be,brennesle,C1,Dørstokkart,LO
