validScientificName,scientificNameAuthorship,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Actaea rubra,(Aiton) Willd.,Dicot,perennial,forb,60.9,14.82,24.28,C/CSR,1
Adelia triloba,Hemsl.,Dicot,perennial,tree,33.59,38.75,27.66,CSR,7
Adenostyles alliariae,(Gouan) A.Kern.,Dicot,perennial,forb,86.65,0,13.35,C,1
Adenostyles alpina  subsp. alpina,"",Dicot,perennial,forb,80.12,0,19.88,C/CR,1
Adenostyles leucophylla,Rchb.,Dicot,perennial,forb,54,3.77,42.23,CR,1
Adiantum capillus-veneris,L.,Fern,perennial,forb,48,0,52,CR,1
Adonis aestivalis,L.,Dicot,annual,forb,12.24,0,87.76,R,1
Adonis apennina,L.,Dicot,perennial,forb,11.26,69.89,18.85,S/SR,1
Adoxa moschatellina,L.,Dicot,perennial,forb,30.87,0,69.13,R/CR,1
Aegilops geniculata,Roth,Monocot,annual,graminoid,1.31,49.97,48.72,SR,1
Aegiphila cephalophora,Standl.,Dicot,perennial,liana,42.2,29.94,27.86,CSR,7
Aegiphila elata,Sw.,Dicot,perennial,liana,55.2,34.78,10.02,CS,7
Aegiphila panamensis,Moldenke,Dicot,perennial,tree,48.2,21.43,30.36,C/CSR,7
Aegiphila pernambucensis,Moldenke,Dicot,perennial,tree,56.66,41.29,2.05,CS,7
Aegopodium podagraria,L.,Dicot,perennial,forb,65.13,13.53,21.34,C/CR,1
Aesculus hippocastanum,L.,Dicot,perennial,tree,76.55,12.52,10.93,C/CS,1
Psephellus caucasicus,(Sosn.) Greuter,Dicot,perennial,forb,40.22,18.14,41.63,CR/CSR,1
Aethusa cynapium  subsp. elata,Hoffm. ex Schübl. & G.Martens,Dicot,annual,forb,55.61,9.31,35.09,CR,1
Agalinis brachyphylla,(Cham. & Schltdl.) D'Arcy,Dicot,perennial,forb,1.27,98.73,0,S,7
Agave virginica,L.,Monocot,perennial,shrub,17.27,82.73,0,S/CS,4
Agonandra brasiliensis,Miers ex Benth.,Dicot,perennial,shrub,32.96,67.04,0,S/CS,7
Agoseris glauca,(Pursh) Raf.,Dicot,perennial,shrub,34.44,4.56,61,R/CR,2
Agrimonia eupatoria,L.,Dicot,perennial,forb,39.2,52.34,8.46,CS,1
Agrimonia gryposepala,Wallr.,Dicot,perennial,forb,14.23,72.93,12.84,S/CS,4
Agrimonia procera,Wallr.,Dicot,perennial,forb,54.24,29.86,15.9,C/CSR,1
Agrimonia microcarpa,Wallr.,Dicot,perennial,forb,43.1,45.77,11.13,CS/CSR,4
Agropyron desertorum,Schult.,Monocot,perennial,graminoid,12.12,87.88,0,S,1
Thinopyrum junceum,(L.) Á.Löve,Monocot,perennial,graminoid,31.81,68.19,0,S/CS,1
Elymus repens,(L.) Gould,Monocot,perennial,graminoid,26.03,50.85,23.12,S/CSR,1
Agrostemma githago,L.,Dicot,annual,forb,28.76,44.02,27.23,S/CSR,1
Poa nemoralis,L.,Monocot,perennial,graminoid,19.03,44.79,36.18,SR/CSR,1
Agrostis alpina,Scop.,Monocot,perennial,graminoid,1.1,95.21,3.69,S,1
Agrostis vinealis,Schreb.,Monocot,perennial,graminoid,4.46,41.75,53.79,SR,1
Agrostis capillaris,L.,Monocot,perennial,graminoid,5.9,52.83,41.27,SR,1
Agrostis gigantea,Roth,Monocot,perennial,graminoid,12.74,35.3,51.95,SR/CSR,1
Agrostis hyemalis,"(Walter) Britton, Sterns & Poggenb.",Monocot,perennial,graminoid,4.94,79.25,15.81,S/SR,4
Agrostis mertensii,Trin.,Monocot,perennial,graminoid,2.84,60.91,36.26,SR,1
Agrostis alpina,Scop.,Monocot,perennial,graminoid,1.87,83.47,14.65,S,1
Agrostis schraderiana,Bech.,Monocot,perennial,graminoid,8.71,60.66,30.63,S/SR,1
Agrostis stolonifera,L.,Monocot,perennial,graminoid,11.4,46.71,41.89,SR/CSR,1
Agrostis capillaris,L.,Monocot,perennial,graminoid,11.55,49.33,39.12,SR/CSR,1
Agrostis vinealis,Schreb.,Monocot,perennial,graminoid,9.44,63.75,26.81,S/SR,1
Aidia densiflora,(Benth.) Masam.,Dicot,perennial,tree,38.3,60.51,1.19,CS,9
Ailanthus altissima,(Mill.) Swingle,Dicot,perennial,tree,74.92,21.32,3.76,C/CS,1
Aira cupaniana,Guss.,Monocot,annual,graminoid,0,56.61,43.39,SR,1
Ajuga chamaepitys,(L.) Schreb.,Dicot,annual,forb,11.92,3.73,84.34,R,1
Ajuga genevensis,L.,Dicot,perennial,forb,26.17,0,73.83,R/CR,1
Ajuga orientalis,L.,Dicot,perennial,forb,32.68,42.26,25.06,CSR,1
Ajuga pyramidalis,L.,Dicot,perennial,forb,27.19,41.12,31.69,CSR,1
Ajuga reptans var. alba,C.Mackintosh,Dicot,perennial,forb,23.85,16.87,59.29,R/CSR,1
Alangium ebenaceum,(C.B.Clarke) Harms,Dicot,perennial,tree,49.72,50.28,0,CS,9
Albizia julibrissin,Durazz.,Dicot,perennial,tree,61.82,24.62,13.56,C/CSR,1
Alcea rosea  subsp. ficifolia,(L.) Govaerts,Dicot,perennial,forb,72.51,14.17,13.32,C/CS,1
Alchemilla opaca,Buser,Dicot,perennial,forb,15.16,66.94,17.9,S/SR,1
Alchemilla caucasica,Buser,Dicot,perennial,forb,17.28,68.71,14.02,S/CS,1
Alchemilla glabra,Neygenf.,Dicot,perennial,forb,25.42,40.17,34.41,CSR,1
Alchemilla glaucescens,Wallr.,Dicot,perennial,forb,32.77,42.4,24.83,CS/CSR,1
Alchemilla mollis,(Buser) Rothm.,Dicot,perennial,forb,60.01,24.15,15.84,C/CSR,1
Alchemilla monticola,Opiz,Dicot,perennial,forb,42.58,33.68,23.75,CS/CSR,1
Alchemilla pentaphyllea,L.,Dicot,perennial,forb,13.32,44.02,42.67,SR/CSR,1
Alchemilla propinqua,H.Lindb. ex Juz.,Dicot,perennial,forb,39.8,32.89,27.32,CSR,1
Alchemilla subcrenata,Buser,Dicot,perennial,forb,41.01,27.85,31.15,CSR,1
Alchemilla subglobosa,C.G.Westerl.,Dicot,perennial,forb,38.56,31.76,29.67,CSR,1
Alchemilla vulgaris,L.,Dicot,perennial,forb,37.16,38.99,23.85,CS/CSR,1
Alchemilla xanthochlora,Rothm.,Dicot,perennial,forb,56.32,20.1,23.57,C/CSR,1
Alchornea costaricensis,Pax & K.Hoffm.,Dicot,perennial,tree,33.56,52.03,14.42,CS/CSR,7
Alchornea latifolia,Sw.,Dicot,perennial,tree,47.81,35.29,16.89,CS/CSR,7
Alibertia edulis,(Rich.) A.Rich. ex DC.,Dicot,perennial,tree,36.82,48.46,14.72,CS/CSR,7
Cordiera myrciifolia,(K.Schum.) C.H.Perss. & Delprete,Dicot,perennial,shrub,41.02,58.98,0,CS,7
Alisma lanceolatum,With.,Monocot,perennial,forb,44.92,0,55.08,CR,1
Alisma plantago-aquatica,L.,Monocot,perennial,aquatic,71.18,0,28.82,C/CR,1
Alliaria petiolata,(M.Bieb.) Cavara & Grande,Dicot,biennial,forb,56.25,1.06,42.7,CR,1
Allium carinatum,L.,Monocot,perennial,forb,39.9,0,60.1,CR,1
Allium insubricum,Boiss. & Reut.,Monocot,perennial,forb,53.35,0,46.65,CR,1
Allium paradoxum,(M.Bieb.) G.Don,Monocot,perennial,forb,44.6,0,55.4,CR,1
Allium minus,"(S.O.Yu, S.Lee & W.Lee) H.J.Choi & B.U.Oh",Monocot,perennial,forb,49.6,0,50.4,CR,1
Allium sphaerocephalon,L.,Monocot,perennial,forb,39.95,0,60.05,CR,1
Allium ursinum,L.,Monocot,perennial,forb,45.66,0,54.34,CR,1
Allium vineale,L.,Monocot,perennial,forb,48.45,4.32,47.24,CR,1
Allophylus edulis,Radlk. ex Warm.,Dicot,perennial,tree,37.57,54.58,7.86,CS,7
Allophylus psilospermus,Radlk.,Dicot,perennial,tree,50.2,27.68,22.12,C/CSR,7
Alnus cordata,(Loisel.) Duby,Dicot,perennial,tree,42.71,34.38,22.91,CS/CSR,1
Alnus glutinosa,(L.) Gaertn.,Dicot,perennial,tree,25.42,62.68,11.9,S/CS,1
Alnus incana,(L.) Moench,Dicot,perennial,shrub,40.12,35.3,24.58,CS/CSR,1
Alnus alnobetula  subsp. fruticosa,(Rupr.) Raus,Dicot,perennial,tree,32.87,40.36,26.77,CSR,1
Alopecurus aequalis,Sobol.,Monocot,perennial,graminoid,22.68,7.54,69.78,R/CR,1
Alopecurus geniculatus,L.,Monocot,annual,graminoid,13.09,27.34,59.57,R/CSR,1
Alopecurus pratensis,L.,Monocot,perennial,graminoid,11.88,58.78,29.34,S/CSR,1
Alphonsea maingayi,Hook.f. & Thomson,Dicot,perennial,tree,30.52,60.05,9.43,S/CS,9
Alseis blackiana,Hemsl.,Dicot,perennial,tree,52.07,28.76,19.16,C/CSR,7
Alseis pickelii,Pilg. & Schmale,Dicot,perennial,tree,51.22,28.44,20.35,C/CSR,7
Althaea officinalis,L.,Dicot,perennial,forb,49.04,17.49,33.46,CR/CSR,1
Alyssum alyssoides,L.,Dicot,perennial,forb,0.11,36.5,63.4,R/SR,1
Alyssum atlanticum,Desf.,Dicot,perennial,forb,3.6,74.99,21.41,S/SR,1
Amaioua glomerulata,(Lam. ex Poir.) Delprete & C.H.Perss.,Dicot,perennial,tree,49.49,40.89,9.62,CS,7
Amaranthus caudatus,L.,Dicot,annual,forb,61.23,6.09,32.68,C/CR,7
Amaranthus deflexus,L.,Dicot,perennial,forb,31.05,0,68.95,R/CR,7
Amaranthus blitum,L.,Dicot,annual,forb,17.03,0,82.97,R/CR,1
Amaranthus powellii,S.Watson,Dicot,annual,forb,41.4,17.19,41.41,CR/CSR,4
Amaranthus retroflexus,L.,Dicot,annual,forb,52.14,23.69,24.17,C/CSR,4
Ambrosia artemisiifolia,L.,Dicot,annual,forb,49.66,23.04,27.29,C/CSR,4
Ambrosia psilostachya,DC.,Dicot,perennial,forb,16.98,46.45,36.57,SR/CSR,4
Ambrosia psilostachya,DC.,Dicot,perennial,forb,15.9,61.34,22.76,S/CSR,4
Ambrosia trifida,L.,Dicot,annual,forb,60.14,9.38,30.48,C/CR,4
Amelanchier lamarckii,F.G.Schroed.,Dicot,perennial,shrub,26.41,67.03,6.56,S/CS,1
Amelanchier ovalis,Medik.,Dicot,perennial,tree,16.24,64.73,19.03,S/CSR,1
Ammannia coccinea,Rottb.,Dicot,perennial,forb,34.47,7.77,57.76,CR,4
Ammi majus,L.,Dicot,annual,forb,6.46,0,93.54,R,1
Calamagrostis arenaria  subsp. australis,(Mabille) Asch. & Graebn.,Monocot,perennial,graminoid,31.12,68.88,0,S/CS,1
Amorpha canescens,Pursh,Dicot,perennial,shrub,24.04,60.02,15.95,S/CSR,4
Amorpha fruticosa,L.,Dicot,perennial,shrub,40.38,39.09,20.53,CS/CSR,4
Amphilophium paniculatum,Kunth,Dicot,perennial,shrub,53.22,28.52,18.26,C/CSR,7
Anacamptis morio,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Monocot,perennial,forb,25.74,0,74.26,R/CR,1
Anacamptis pyramidalis,(L.) Rich.,Monocot,perennial,forb,44.98,0,55.02,CR,1
Anacardium excelsum,Skeels,Dicot,perennial,tree,55.47,34.61,9.92,CS,7
Anacardium occidentale,L.,Dicot,perennial,tree,50.42,49.58,0,CS,7
Lysimachia arvensis,(L.) U.Manns & Anderb.,Dicot,perennial,forb,6.48,0,93.52,R,1
Lysimachia foemina,(Mill.) U.Manns & Anderb.,Dicot,biennial,forb,10.2,0,89.8,R,1
Lysimachia minima,(L.) U.Manns & Anderb.,Dicot,annual,forb,0,0,100,R,1
Anaphalis margaritacea,(L.) Benth. & Hook.f.,Dicot,perennial,forb,31.37,51.62,17.01,S/CSR,1
Anarrhinum bellidifolium,(L.) Willd.,Dicot,perennial,forb,36.1,29.33,34.57,CSR,1
Anaxagorea dolichocarpa,Sandwith & Sandwith,Dicot,perennial,tree,61.47,28.79,9.74,C/CS,7
Anaxagorea javanica,Blume,Dicot,perennial,shrub,43.43,48.59,7.99,CS,9
Anaxagorea panamensis,Standl.,Dicot,perennial,shrub,37.72,45.92,16.36,CS/CSR,7
Anchusa azurea,Mill.,Dicot,perennial,forb,65.04,0,34.96,C/CR,1
Anchusa officinalis,L.,Dicot,perennial,forb,46.17,0,53.83,CR,1
Andira fraxinifolia,Benth.,Dicot,perennial,tree,29.97,70.03,0,S/CS,7
Andira legalis,(Vell.) Toledo,Dicot,perennial,tree,49.86,50.14,0,CS,7
Andromeda polifolia,L.,Dicot,perennial,shrub,2.28,97.72,0,S,1
Andropogon distachyos,L.,Monocot,perennial,graminoid,24.59,61.94,13.47,S/CSR,1
Andropogon gerardii,Vitman,Monocot,perennial,graminoid,24.33,52.02,23.66,S/CSR,2
Andropogon virginicus,L.,Monocot,perennial,graminoid,15.84,77.51,6.66,S/CS,4
Androsace albana,Steven,Dicot,biennial,forb,7.92,41.76,50.32,SR,1
Androsace lactea,L.,Dicot,perennial,forb,11.9,0,88.1,R,1
Androsace maxima,L.,Dicot,annual,forb,10.58,0,89.42,R,1
Androsace septentrionalis,L.,Dicot,annual,forb,2.49,0,97.51,R,1
Androsace alpina,(L.) Lam.,Dicot,perennial,forb,0,95.01,4.99,S,1
Anemonastrum canadense,(L.) Mosyakin,Dicot,perennial,forb,39.21,38.11,22.68,CS/CSR,2
Anemonoides quinquefolia,(L.) Holub,Dicot,perennial,forb,38.18,10.7,51.12,CR,1
Anemone quinquefolia,L.,Dicot,perennial,forb,38.26,0,61.74,CR,2
Anemonoides ranunculoides,(L.) Holub,Dicot,perennial,forb,33.01,9.67,57.32,R/CSR,1
Anemonastrum fasciculatum,(L.) Holub,Dicot,perennial,forb,42.84,28.83,28.33,CSR,1
Pulsatilla vulgaris,Mill.,Dicot,perennial,forb,38.56,33.43,28.01,CSR,1
Anethum graveolens,L.,Dicot,annual,forb,45.79,0.77,53.44,CR,1
Angelica archangelica,L.,Dicot,perennial,forb,81.36,8.84,9.8,C,1
Angelica sylvestris,L.,Dicot,perennial,forb,78.77,11.72,9.51,C/CS,1
Annona acuminata,Saff.,Dicot,perennial,shrub,29.71,48.68,21.61,S/CSR,7
Annona salzmannii,A.DC.,Dicot,perennial,tree,45.22,49.78,5,CS,7
Annona spraguei,Saff.,Dicot,perennial,tree,58.95,25.5,15.55,C/CSR,7
Antennaria carpatica,(Wahlenb.) Hook.,Dicot,perennial,forb,10.02,76.08,13.9,S/SR,1
Antennaria dioica,(L.) Gaertn.,Dicot,perennial,shrub,1.78,79.14,19.09,S/SR,1
Antennaria parvifolia,Nutt.,Dicot,perennial,forb,5.22,75.23,19.55,S/SR,2
Antennaria plantaginifolia,(L.) Richardson,Dicot,perennial,forb,20.45,27.76,51.79,R/CSR,4
Antennaria rosulata,Rydb.,Dicot,perennial,forb,0.61,63.89,35.51,S/SR,4
Anthemis ubensis,Pomel,Dicot,annual,forb,13.82,0,86.18,R,1
Anthemis cotula,L.,Dicot,annual,forb,57.03,6.62,36.35,CR,2
Anthemis cretica  subsp. cretica,"",Dicot,perennial,forb,28.87,9.36,61.77,R/CR,1
Anthemis marschalliana,Willd.,Dicot,perennial,forb,22.34,54.03,23.63,S/CSR,1
Anthemis ruthenica,M.Bieb.,Dicot,biennial,forb,20.65,0,79.35,R/CR,1
Cota tinctoria,(L.) J.Gay,Dicot,annual,forb,15.6,43.45,40.95,SR/CSR,1
Anthericum liliago,L.,Monocot,perennial,forb,65.91,0,34.09,C/CR,1
Anthericum ramosum,L.,Monocot,perennial,forb,45.97,22.17,31.86,CR/CSR,1
Anthoxanthum nipponicum,Honda,Monocot,perennial,graminoid,8.67,60,31.33,S/SR,1
Anthoxanthum aristatum,Boiss.,Monocot,annual,graminoid,14.74,31.72,53.54,R/CSR,1
Anthoxanthum odoratum  subsp. nipponicum,(Honda) Tzvelev,Monocot,perennial,graminoid,8.36,67.45,24.19,S/SR,1
Anthriscus caucalis,M.Bieb.,Dicot,annual,forb,43.09,12,44.91,CR/CSR,1
Anthriscus cerefolium,Hoffm.,Dicot,annual,forb,20.52,1.42,78.06,R/CR,1
Anthriscus nitida,Garcke,Dicot,perennial,forb,58.86,16.77,24.36,C/CSR,1
Anthriscus sylvestris,(L.) Hoffm.,Dicot,biennial,forb,62.03,0,37.97,CR,1
Anthyllis barba-jovis,L.,Dicot,perennial,tree,42.53,57.47,0,CS,1
Anthyllis vulneraria  subsp. alpestris,(Hegetschw.) Asch. & Graebn.,Dicot,perennial,forb,32.04,0,67.96,R/CR,1
Anthyllis vulneraria  subsp. polyphylla,(DC.) Nyman,Dicot,perennial,forb,41.77,31.37,26.86,CSR,1
Apeiba membranacea,Spruce ex Benth.,Dicot,perennial,tree,47.68,37.06,15.26,CS/CSR,7
Apeiba tibourbou,Aubl.,Dicot,perennial,tree,64.63,21.19,14.18,C/CS,7
Apera interrupta,(L.) P.Beauv.,Monocot,annual,graminoid,0.4,47.36,52.24,SR,1
Aphanes arvensis,L.,Dicot,annual,forb,2.14,35.74,62.12,R/SR,1
Aphanes australis,Rydb.,Dicot,annual,forb,9.38,32.67,57.96,R/CSR,1
Aphelandra sinclairiana,Nees,Dicot,perennial,shrub,60.63,12.45,26.92,C/CSR,7
Apium inundatum,Rchb.f.,Dicot,perennial,forb,2.56,0,97.44,R,1
Apium nodiflorum,(L.) Lag.,Dicot,perennial,forb,40.05,0,59.95,CR,1
Apocynum androsaemifolium,L.,Dicot,perennial,forb,45.58,40.77,13.65,CS/CSR,2
Aporosa aurea,Hook.f.,Dicot,perennial,tree,46.58,49.8,3.62,CS,9
Aporosa subcaudata,Merr.,Dicot,perennial,tree,34.19,59.93,5.88,S/CS,9
Aporosa falcifera,Hook.f.,Dicot,perennial,tree,41.12,57.65,1.22,CS,9
Aporosa globifera,Hook.f.,Dicot,perennial,tree,39.61,45.7,14.69,CS/CSR,9
Aporosa microstachya,(Tul.) Müll.Arg.,Dicot,perennial,tree,38.62,50.54,10.84,CS/CSR,9
Aporosa nigricans,Hook.f.,Dicot,perennial,tree,54.39,41.91,3.7,CS,9
Aporosa prainiana,King ex Gage,Dicot,perennial,tree,51.46,25.59,22.95,C/CSR,9
Aposeris foetida,Less.,Dicot,perennial,forb,39.15,0,60.85,CR,1
Appunia siebertii,Standl.,Dicot,perennial,shrub,56.06,15,28.93,C/CSR,7
Apuleia leiocarpa,(Vogel) J.F.Macbr.,Dicot,perennial,tree,31.61,48.27,20.12,S/CSR,7
Aquilegia atrata,W.D.J.Koch,Dicot,perennial,forb,53.11,3.72,43.17,CR,1
Aquilegia,L.,Dicot,perennial,forb,25.64,34.31,40.05,CSR,1
Aquilegia vulgaris,L.,Dicot,perennial,forb,41,32.01,26.99,CSR,1
Arabidopsis suecica,(Fr.) Norrl. ex O.E.Schulz,Dicot,annual,forb,29.03,0,70.97,R/CR,1
Arabidopsis thaliana,(L.) Heynh.,Dicot,annual,forb,4.27,0,95.73,R,1
Arabis alpina,L.,Dicot,perennial,forb,9.7,0,90.3,R,1
Arabis alpina,L.,Dicot,perennial,forb,40.31,35.29,24.4,CS/CSR,1
Arabis caerulea,Haenke,Dicot,perennial,forb,4.88,50.46,44.66,SR,1
Arabis collina,Ten.,Dicot,perennial,forb,15.32,0,84.68,R,1
Turritis glabra,L.,Dicot,perennial,forb,55.59,7.46,36.95,CR,1
Arabis hirsuta,(L.) Scop.,Dicot,perennial,forb,4.14,0,95.86,R,1
Arabidopsis lyrata,(L.) O'Kane & Al-Shehbaz,Dicot,perennial,forb,11.08,0,88.92,R,1
Arabis pumila,Jacq.,Dicot,perennial,forb,0.34,75.35,24.32,S/SR,1
Arabis sagittata,(Bertol.) DC.,Dicot,perennial,forb,28.17,0,71.83,R/CR,1
Pseudoturritis turrita,(L.) Al-Shehbaz,Dicot,perennial,forb,46.99,0,53.01,CR,1
Aralia hispida,Vent.,Dicot,perennial,shrub,37.88,48.97,13.15,CS/CSR,2
Arbutus unedo,L.,Dicot,perennial,tree,22.74,69.84,7.42,S/CS,1
Archidendron bubalinum,(Jack) I.C.Nielsen,Dicot,perennial,tree,38.1,55.94,5.95,CS,9
Arctium lappa,L.,Dicot,biennial,forb,87.25,0.4,12.36,C,1
Arctium minus,Schkuhr,Dicot,biennial,forb,84.9,0,15.1,C,1
Arctostaphylos uva-ursi,(L.) Spreng.,Dicot,perennial,shrub,13.28,65.44,21.28,S/SR,1
Arctostaphylos uva-ursi,(L.) Spreng.,Dicot,perennial,shrub,11.34,88.66,0,S,1
Ardisia bartletii,Lundell,Dicot,perennial,shrub,38.63,49.93,11.44,CS/CSR,7
Ardisia crassa,C.B.Clarke,Dicot,perennial,tree,38.57,55.44,5.99,CS,9
Ardisia fendleri,Lundell,Dicot,perennial,shrub,61.29,27.7,11.01,C/CS,7
Ardisia guianensis,(Aubl.) Mez,Dicot,perennial,tree,45.02,35.04,19.93,CS/CSR,7
Ardisia hullettii,Mez,Dicot,perennial,tree,49.85,45.19,4.96,CS,9
Ardisia kunstleri,King & Gamble,Dicot,perennial,shrub,48.41,50.26,1.33,CS,9
Eremogone fendleri,(A.Gray) Ikonn.,Dicot,perennial,forb,1.16,77.98,20.86,S/SR,4
Arenaria lanuginosa,(Michx.) Rohrb.,Dicot,perennial,forb,3.54,0,96.46,R,4
Eremogone capillaris,(Poir.) Fenzl,Dicot,perennial,forb,4.41,70.23,25.37,S/SR,1
Arenaria serpyllifolia,L.,Dicot,perennial,forb,0,45.38,54.62,SR,1
Arisaema triphyllum,(L.) Schott,Monocot,perennial,forb,69.12,0,30.88,C/CR,4
Aristida dichotoma,Michx.,Monocot,annual,graminoid,4.04,78.04,17.92,S/SR,4
Aristida oligantha,Michx.,Monocot,annual,graminoid,5.03,60.3,34.68,S/SR,4
Aristida purpurascens,Poir.,Monocot,perennial,graminoid,8.64,59.33,32.03,S/SR,4
Aristida purpurea,Nutt.,Monocot,perennial,graminoid,0,100,0,S,4
Aristolochia clematitis,L.,Dicot,perennial,herbaceous vine,55.58,28.91,15.51,C/CSR,1
Aristolochia pallida,Willd.,Dicot,perennial,forb,12.9,24.75,62.35,R/CSR,1
Armeria maritima,(Mill.) Willd.,Dicot,perennial,shrub,15.61,29.94,54.46,R/CSR,1
Arnica angustifolia  subsp. alpina,(L.) I.K.Ferguson,Dicot,perennial,forb,59.07,0,40.93,CR,1
Arnoseris minima,(L.) Schweigg. & Korte,Dicot,annual,forb,35.06,0,64.94,R/CR,1
Fridericia candicans,(Rich.) L.G.Lohmann,Dicot,perennial,liana,64.61,27.78,7.61,C/CS,7
Fridericia florida,(DC.) L.G.Lohmann,Dicot,perennial,liana,50.24,33.23,16.53,CS/CSR,7
Fridericia schumanniana,(Loes.) L.G.Lohmann,Dicot,perennial,liana,52.11,35.8,12.08,CS/CSR,7
Arrhenatherum elatius,(L.) P.Beauv. ex J.Presl & C.Presl,Monocot,perennial,graminoid,23.76,35.52,40.72,SR/CSR,1
Artemisia absinthium,L.,Dicot,perennial,shrub,32.35,23.48,44.17,CR/CSR,1
Artemisia annua,L.,Dicot,annual,forb,24.89,28.28,46.84,R/CSR,1
Artemisia campestris,L.,Dicot,perennial,forb,22.29,30.41,47.3,R/CSR,1
Artemisia carruthii,Alph.Wood ex J.H.Carruth,Dicot,perennial,forb,5.83,61.46,32.71,S/SR,4
Artemisia campestris  subsp. caudata,(Michx.) H.M.Hall & Clem.,Dicot,perennial,forb,29.52,49.24,21.24,S/CSR,2
Artemisia dracunculus,L.,Dicot,perennial,shrub,10.63,46.86,42.5,SR,1
Artemisia ludoviciana,Nutt.,Dicot,perennial,shrub,12.54,65.09,22.37,S/SR,4
Seriphidium maritimum,(L.) Poljakov,Dicot,perennial,shrub,37.73,24.5,37.77,CR/CSR,1
Artemisia verlotiorum,Lamotte,Dicot,perennial,forb,31.59,59.94,8.47,S/CS,1
Artemisia vulgaris,L.,Dicot,perennial,forb,39.05,49.65,11.3,CS/CSR,1
Aruncus dioicus,(Walter) Fernald,Dicot,perennial,forb,70.58,3.34,26.08,C/CR,1
Asarum canadense,L.,Dicot,perennial,forb,69.93,0,30.07,C/CR,4
Asarum europaeum,L.,Dicot,perennial,forb,52.42,0,47.58,CR,1
Asclepias incarnata,L.,Dicot,perennial,forb,36.06,28.26,35.69,CSR,2
Asclepias syriaca,L.,Dicot,perennial,forb,63.44,17.32,19.24,C/CSR,4
Asclepias tuberosa,L.,Dicot,perennial,forb,30.75,28.17,41.08,CSR,4
Asclepias verticillata,L.,Dicot,perennial,forb,4.86,42.21,52.93,SR,4
Asclepias viridis,Walter,Dicot,perennial,forb,25.55,72.5,1.95,S/CS,4
Asparagus officinalis,L.,Monocot,perennial,forb,0.35,92.59,7.06,S,1
Asperugo procumbens,L.,Dicot,annual,forb,17.26,0,82.74,R/CR,1
