validScientificName,family,order,superOrder,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Achillea roseo-alba Ehrend.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,36.2,14.11,49.69,CR/CSR,1
Achnatherum calamagrostis (L.) P. Beauv.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,43.37,40.86,15.77,CS/CSR,1
Acinos arvensis (Lam.) Dandy,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,2.87,50.89,46.23,SR,1
Aconitum lycoctonum L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,74.03,0,25.97,C/CR,1
Aconitum napellus L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,66.9,3.8,29.3,C/CR,1
Aconitum nasutum Fisch. ex Rchb.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,47.28,9.32,43.41,CR,1
Acorus calamus L.,Acoraceae,Acorales,Lilianae,Monocot,perennial,forb,5.83,61.14,33.03,S/SR,1
Actaea spicata L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,60.9,14.82,24.28,C/CSR,1
Adelia triloba (Müll. Arg.) Hemsl.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,tree,33.59,38.75,27.66,CSR,7
Adenostyles alliariae (Gouan) A. Kern. alliariae,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,86.65,0,13.35,C,1
Adenostyles glabra (Mill.) DC.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,80.12,0,19.88,C/CR,1
Adenostyles leucophylla (Willd.) Rchb.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,54,3.77,42.23,CR,1
Adiantum capillus-veneris L.,Pteridaceae,Polypodiales,,Fern,perennial,forb,48,0,52,CR,1
Adonis aestivalis L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,annual,forb,12.24,0,87.76,R,1
Adonis vernalis L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,11.26,69.89,18.85,S/SR,1
Adoxa moschatellina L. moschatellina,Adoxaceae,Dipsacales,Asteranae,Dicot,perennial,forb,30.87,0,69.13,R/CR,1
Aegilops geniculata Roth,Poaceae,Poales,Lilianae,Monocot,annual,graminoid,1.31,49.97,48.72,SR,1
Aegiphila cephalophora Standl.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,liana,42.2,29.94,27.86,CSR,7
Aegiphila elata Sw.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,liana,55.2,34.78,10.02,CS,7
Aegiphila panamensis Moldenke,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,tree,48.2,21.43,30.36,C/CSR,7
Aegiphila pernambucensis Moldenke,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,tree,56.66,41.29,2.05,CS,7
Aegopodium podagraria L.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,65.13,13.53,21.34,C/CR,1
Aesculus hippocastanum L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,76.55,12.52,10.93,C/CS,1
Aetheopappus caucasicus Sosn.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,40.22,18.14,41.63,CR/CSR,1
Aethusa cynapium L.,Apiaceae,Apiales,Asteranae,Dicot,annual,forb,55.61,9.31,35.09,CR,1
Agalinis brachyphylla (Cham. & Schltdl.) D'Arcy,Orobanchaceae,Lamiales,Asteranae,Dicot,perennial,forb,1.27,98.73,0,S,7
Agave virginica L.,Asparagaceae,Asparagales,Lilianae,Monocot,perennial,shrub,17.27,82.73,0,S/CS,4
Agonandra brasiliensis Miers ex Benth. & Hook. f.,Opiliaceae,Santalales,Santalanae,Dicot,perennial,shrub,32.96,67.04,0,S/CS,7
Agoseris glauca (Pursh) Raf.,Asteraceae,Asterales,Asteranae,Dicot,perennial,shrub,34.44,4.56,61,R/CR,2
Agrimonia eupatoria L. eupatoria,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,39.2,52.34,8.46,CS,1
Agrimonia gryposepala Wallr.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,14.23,72.93,12.84,S/CS,4
Agrimonia procera Wallr.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,54.24,29.86,15.9,C/CSR,1
Agrimonia pubescens Wallr.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,43.1,45.77,11.13,CS/CSR,4
Agropyron desertorum (Fisch. ex Link) Schult.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,12.12,87.88,0,S,1
Agropyron junceum (L.) Beauv.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,31.81,68.19,0,S/CS,1
Agropyron repens (L.) P. Beauv.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,26.03,50.85,23.12,S/CSR,1
Agrostemma githago L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,28.76,44.02,27.23,S/CSR,1
Agrostis alba L.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,19.03,44.79,36.18,SR/CSR,1
Agrostis alpina Scop.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,1.1,95.21,3.69,S,1
Agrostis canina L.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,4.46,41.75,53.79,SR,1
Agrostis capillaris L.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,5.9,52.83,41.27,SR,1
Agrostis gigantea Roth,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,12.74,35.3,51.95,SR/CSR,1
"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,4.94,79.25,15.81,S/SR,4
Agrostis mertensii Trin.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,2.84,60.91,36.26,SR,1
Agrostis rupestris All.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,1.87,83.47,14.65,S,1
Agrostis schraderiana Bech.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,8.71,60.66,30.63,S/SR,1
Agrostis stolonifera L.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,11.4,46.71,41.89,SR/CSR,1
Agrostis tenuis Sibth.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,11.55,49.33,39.12,SR/CSR,1
Agrostis vinealis Schreb.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,9.44,63.75,26.81,S/SR,1
Aidia densiflora (Wall.) Masam.,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,tree,38.3,60.51,1.19,CS,9
Ailanthus altissima (Mill.) Swingle,Simaroubaceae,Sapindales,Rosanae,Dicot,perennial,tree,74.92,21.32,3.76,C/CS,1
Aira praecox L.,Poaceae,Poales,Lilianae,Monocot,annual,graminoid,0,56.61,43.39,SR,1
Ajuga chamaepitys (L.) Schreber chamaepitys,Lamiaceae,Lamiales,Asteranae,Dicot,annual,forb,11.92,3.73,84.34,R,1
Ajuga genevensis L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,26.17,0,73.83,R/CR,1
Ajuga orientalis L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,32.68,42.26,25.06,CSR,1
Ajuga pyramidalis L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,27.19,41.12,31.69,CSR,1
Ajuga reptans L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,23.85,16.87,59.29,R/CSR,1
Alangium ebenaceum (C.B. Clarke) Harms,Alangiaceae,Cornales,Asteranae,Dicot,perennial,tree,49.72,50.28,0,CS,9
Albizia julibrissin Durazz.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,61.82,24.62,13.56,C/CSR,1
Alcea rosea L.,Malvaceae,Malvales,Rosanae,Dicot,perennial,forb,72.51,14.17,13.32,C/CS,1
Alchemilla alpina L.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,15.16,66.94,17.9,S/SR,1
Alchemilla caucasica Buser,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,17.28,68.71,14.02,S/CS,1
Alchemilla glabra Neygenf.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,25.42,40.17,34.41,CSR,1
Alchemilla glaucescens Wallr.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,32.77,42.4,24.83,CS/CSR,1
Alchemilla mollis (Buser) Rothm.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,60.01,24.15,15.84,C/CSR,1
Alchemilla monticola Opiz,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,42.58,33.68,23.75,CS/CSR,1
Alchemilla pentaphyllea L.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,13.32,44.02,42.67,SR/CSR,1
Alchemilla propinqua Lindb. fil. ex Juz.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,39.8,32.89,27.32,CSR,1
Alchemilla subcrenata Buser,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,41.01,27.85,31.15,CSR,1
Alchemilla subglobosa G.C. Westerl.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,38.56,31.76,29.67,CSR,1
Alchemilla vulgaris L.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,37.16,38.99,23.85,CS/CSR,1
Alchemilla xanthochlora Rothm.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,56.32,20.1,23.57,C/CSR,1
Alchornea costaricensis Pax & K. Hoffm.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,tree,33.56,52.03,14.42,CS/CSR,7
Alchornea latifolia Sw.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,tree,47.81,35.29,16.89,CS/CSR,7
Alibertia edulis (Rich.) A. Rich. ex DC.,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,tree,36.82,48.46,14.72,CS/CSR,7
Alibertia myrciifolia K. Schum.,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,shrub,41.02,58.98,0,CS,7
Alisma lanceolatum With.,Alismataceae,Alismatales,Lilianae,Monocot,perennial,forb,44.92,0,55.08,CR,1
Alisma plantago-aquatica L.,Alismataceae,Alismatales,Lilianae,Monocot,perennial,aquatic,71.18,0,28.82,C/CR,1
Alliaria petiolata (M. Bieb.) Cavara & Grande,Brassicaceae,Brassicales,Rosanae,Dicot,biennial,forb,56.25,1.06,42.7,CR,1
Allium carinatum L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,perennial,forb,39.9,0,60.1,CR,1
Allium insubricum Boiss. & Reut.,Amaryllidaceae,Asparagales,Lilianae,Monocot,perennial,forb,53.35,0,46.65,CR,1
Allium paradoxum (M. Bieb.) G. Don,Amaryllidaceae,Asparagales,Lilianae,Monocot,perennial,forb,44.6,0,55.4,CR,1
Allium senescens L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,perennial,forb,49.6,0,50.4,CR,1
Allium sphaerocephalon L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,perennial,forb,39.95,0,60.05,CR,1
Allium ursinum L. ursinum,Amaryllidaceae,Asparagales,Lilianae,Monocot,perennial,forb,45.66,0,54.34,CR,1
Allium vineale L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,perennial,forb,48.45,4.32,47.24,CR,1
"Allophylus edulis (A. St.-Hil., A. Juss. & Cambess.) Hieron. ex Niederl.",Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,37.57,54.58,7.86,CS,7
Allophylus psilospermus Radlk.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,50.2,27.68,22.12,C/CSR,7
Alnus cordata (Loisel.) Loisel.,Betulaceae,Fagales,Rosanae,Dicot,perennial,tree,42.71,34.38,22.91,CS/CSR,1
Alnus glutinosa (L.) Gaertn.,Betulaceae,Fagales,Rosanae,Dicot,perennial,tree,25.42,62.68,11.9,S/CS,1
Alnus incana (L.) Moench,Betulaceae,Fagales,Rosanae,Dicot,perennial,shrub,40.12,35.3,24.58,CS/CSR,1
Alnus viridis (Chaix) DC.,Betulaceae,Fagales,Rosanae,Dicot,perennial,tree,32.87,40.36,26.77,CSR,1
Alopecurus aequalis Sobol.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,22.68,7.54,69.78,R/CR,1
Alopecurus geniculatus L.,Poaceae,Poales,Lilianae,Monocot,annual,graminoid,13.09,27.34,59.57,R/CSR,1
Alopecurus pratensis L.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,11.88,58.78,29.34,S/CSR,1
Alphonsea maingayi Hook. f. & Thomson,Annonaceae,Magnoliales,Magnolianae,Dicot,perennial,tree,30.52,60.05,9.43,S/CS,9
Alseis blackiana Hemsl.,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,tree,52.07,28.76,19.16,C/CSR,7
Alseis pickelii Pilger & Schmale,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,tree,51.22,28.44,20.35,C/CSR,7
Althaea officinalis L.,Malvaceae,Malvales,Rosanae,Dicot,perennial,forb,49.04,17.49,33.46,CR/CSR,1
Alyssum alyssoides (L.) L.,Brassicaceae,Brassicales,Rosanae,Dicot,perennial,forb,0.11,36.5,63.4,R/SR,1
Alyssum montanum L.,Brassicaceae,Brassicales,Rosanae,Dicot,perennial,forb,3.6,74.99,21.41,S/SR,1
Amaioua corymbosa Kunth,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,tree,49.49,40.89,9.62,CS,7
Amaranthus caudatus L.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,61.23,6.09,32.68,C/CR,7
Amaranthus deflexus L.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,31.05,0,68.95,R/CR,7
Amaranthus lividus L.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,17.03,0,82.97,R/CR,1
Amaranthus powelli S. Watson,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,41.4,17.19,41.41,CR/CSR,4
Amaranthus retroflexus L.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,52.14,23.69,24.17,C/CSR,4
Ambrosia artemisiifolia L.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,49.66,23.04,27.29,C/CSR,4
Ambrosia coronopifolia Torr. & A. Gray,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,16.98,46.45,36.57,SR/CSR,4
Ambrosia psilostachya DC.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,15.9,61.34,22.76,S/CSR,4
Ambrosia trifida L.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,60.14,9.38,30.48,C/CR,4
Amelanchier lamarckii F.G. Schroed.,Rosaceae,Rosales,Rosanae,Dicot,perennial,shrub,26.41,67.03,6.56,S/CS,1
Amelanchier ovalis Medik.,Rosaceae,Rosales,Rosanae,Dicot,perennial,tree,16.24,64.73,19.03,S/CSR,1
Ammannia coccinea Rottb.,Lythraceae,Myrtales,Rosanae,Dicot,perennial,forb,34.47,7.77,57.76,CR,4
Ammi majus L.,Apiaceae,Apiales,Asteranae,Dicot,annual,forb,6.46,0,93.54,R,1
Ammophila littoralis (Beauv.) Rothm.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,31.12,68.88,0,S/CS,1
Amorpha canescens Pursh,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,24.04,60.02,15.95,S/CSR,4
Amorpha fruticosa L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,40.38,39.09,20.53,CS/CSR,4
Amphilophium paniculatum (L.) Kunth,Bignoniaceae,Lamiales,Asteranae,Dicot,perennial,shrub,53.22,28.52,18.26,C/CSR,7
"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",Orchidaceae,Asparagales,Lilianae,Monocot,perennial,forb,25.74,0,74.26,R/CR,1
Anacamptis pyramidalis (L.) Rich.,Orchidaceae,Asparagales,Lilianae,Monocot,perennial,forb,44.98,0,55.02,CR,1
Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,Anacardiaceae,Sapindales,Rosanae,Dicot,perennial,tree,55.47,34.61,9.92,CS,7
Anacardium occidentale L.,Anacardiaceae,Sapindales,Rosanae,Dicot,perennial,tree,50.42,49.58,0,CS,7
Anagallis arvensis L. arvensis,Primulaceae,Ericales,Asteranae,Dicot,perennial,forb,6.48,0,93.52,R,1
Anagallis foemina Mill.,Primulaceae,Ericales,Asteranae,Dicot,biennial,forb,10.2,0,89.8,R,1
Anagallis minima (L.) E.H.L. Krause,Primulaceae,Ericales,Asteranae,Dicot,annual,forb,0,0,100,R,1
Anaphalis margaritacea (L.) Benth. & Hook. f.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,31.37,51.62,17.01,S/CSR,1
Anarrhinum bellidifolium Willd.,Plantaginaceae,Lamiales,Asteranae,Dicot,perennial,forb,36.1,29.33,34.57,CSR,1
Anaxagorea dolichocarpa Sprague & Sandwith,Annonaceae,Magnoliales,Magnolianae,Dicot,perennial,tree,61.47,28.79,9.74,C/CS,7
Anaxagorea javanica Blume,Annonaceae,Magnoliales,Magnolianae,Dicot,perennial,shrub,43.43,48.59,7.99,CS,9
Anaxagorea panamensis Standl.,Annonaceae,Magnoliales,Magnolianae,Dicot,perennial,shrub,37.72,45.92,16.36,CS/CSR,7
Anchusa azurea Mill.,Boraginaceae,Boraginales,Asteranae,Dicot,perennial,forb,65.04,0,34.96,C/CR,1
Anchusa officinalis L.,Boraginaceae,Boraginales,Asteranae,Dicot,perennial,forb,46.17,0,53.83,CR,1
Andira fraxinifolia Benth.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,29.97,70.03,0,S/CS,7
Andira legalis (Vell.) Toledo,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,49.86,50.14,0,CS,7
Andromeda polifolia L.,Ericaceae,Ericales,Asteranae,Dicot,perennial,shrub,2.28,97.72,0,S,1
Andropogon distachyos L.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,24.59,61.94,13.47,S/CSR,1
Andropogon gerardii Vitman,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,24.33,52.02,23.66,S/CSR,2
Andropogon virginicus L.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,15.84,77.51,6.66,S/CS,4
Androsace albana Steven,Primulaceae,Ericales,Asteranae,Dicot,biennial,forb,7.92,41.76,50.32,SR,1
Androsace lactea L.,Primulaceae,Ericales,Asteranae,Dicot,perennial,forb,11.9,0,88.1,R,1
Androsace maxima L.,Primulaceae,Ericales,Asteranae,Dicot,annual,forb,10.58,0,89.42,R,1
Androsace septentrionalis L.,Primulaceae,Ericales,Asteranae,Dicot,annual,forb,2.49,0,97.51,R,1
Androsace vandellii Chiov.,Primulaceae,Ericales,Asteranae,Dicot,perennial,forb,0,95.01,4.99,S,1
Anemone canadensis L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,39.21,38.11,22.68,CS/CSR,2
Anemone nemorosa L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,38.18,10.7,51.12,CR,1
Anemone quinquefolia L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,38.26,0,61.74,CR,2
Anemone ranunculoides L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,33.01,9.67,57.32,R/CSR,1
Anemone speciosa Adam ex G. Pritz.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,42.84,28.83,28.33,CSR,1
Anemone sylvestris L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,38.56,33.43,28.01,CSR,1
Anethum graveolens L.,Apiaceae,Apiales,Asteranae,Dicot,annual,forb,45.79,0.77,53.44,CR,1
Angelica archangelica L.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,81.36,8.84,9.8,C,1
Angelica sylvestris L.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,78.77,11.72,9.51,C/CS,1
Annona acuminata Saff.,Annonaceae,Magnoliales,Magnolianae,Dicot,perennial,shrub,29.71,48.68,21.61,S/CSR,7
Annona salzmannii A. DC.,Annonaceae,Magnoliales,Magnolianae,Dicot,perennial,tree,45.22,49.78,5,CS,7
Annona spraguei Saff.,Annonaceae,Magnoliales,Magnolianae,Dicot,perennial,tree,58.95,25.5,15.55,C/CSR,7
Antennaria carpatica (Wahlenb.) Bluff & Fingerh.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,10.02,76.08,13.9,S/SR,1
Antennaria dioica (L.) Gaertn.,Asteraceae,Asterales,Asteranae,Dicot,perennial,shrub,1.78,79.14,19.09,S/SR,1
Antennaria parvifolia Nutt.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,5.22,75.23,19.55,S/SR,2
Antennaria plantaginifolia (L.) Hook.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,20.45,27.76,51.79,R/CSR,4
Antennaria rosulata Rydb.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,0.61,63.89,35.51,S/SR,4
Anthemis arvensis L.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,13.82,0,86.18,R,1
Anthemis cotula L.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,57.03,6.62,36.35,CR,2
Anthemis cretica L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,28.87,9.36,61.77,R/CR,1
Anthemis marschalliana Willd.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,22.34,54.03,23.63,S/CSR,1
Anthemis ruthenica M. Bieb.,Asteraceae,Asterales,Asteranae,Dicot,biennial,forb,20.65,0,79.35,R/CR,1
Anthemis tinctoria L.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,15.6,43.45,40.95,SR/CSR,1
Anthericum liliago L.,Asparagaceae,Asparagales,Lilianae,Monocot,perennial,forb,65.91,0,34.09,C/CR,1
Anthericum ramosum L.,Asparagaceae,Asparagales,Lilianae,Monocot,perennial,forb,45.97,22.17,31.86,CR/CSR,1
Anthoxanthum alpinum Á. Löve & D. Löve,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,8.67,60,31.33,S/SR,1
Anthoxanthum aristatum Boiss.,Poaceae,Poales,Lilianae,Monocot,annual,graminoid,14.74,31.72,53.54,R/CSR,1
Anthoxanthum odoratum L. nipponicum (Honda) Tzvelev,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,8.36,67.45,24.19,S/SR,1
Anthriscus caucalis M. Bieb.,Apiaceae,Apiales,Asteranae,Dicot,annual,forb,43.09,12,44.91,CR/CSR,1
Anthriscus cerefolium (L.) Hoffm.,Apiaceae,Apiales,Asteranae,Dicot,annual,forb,20.52,1.42,78.06,R/CR,1
Anthriscus nitida (Wahlenb.) Garcke,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,58.86,16.77,24.36,C/CSR,1
Anthriscus sylvestris (L.) Hoffm.,Apiaceae,Apiales,Asteranae,Dicot,biennial,forb,62.03,0,37.97,CR,1
Anthyllis barba-jovis L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,42.53,57.47,0,CS,1
Anthyllis vulneraria L. alpestris (Kit. ex Schult.) Asch. & Graebn.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,32.04,0,67.96,R/CR,1
Anthyllis vulneraria L. polyphylla (DC.) Nyman,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,41.77,31.37,26.86,CSR,1
Apeiba membranacea Spruce ex Benth.,Malvaceae,Malvales,Rosanae,Dicot,perennial,tree,47.68,37.06,15.26,CS/CSR,7
Apeiba tibourbou Aubl.,Malvaceae,Malvales,Rosanae,Dicot,perennial,tree,64.63,21.19,14.18,C/CS,7
Apera interrupta (L.) P. Beauv.,Poaceae,Poales,Lilianae,Monocot,annual,graminoid,0.4,47.36,52.24,SR,1
Aphanes arvensis L.,Rosaceae,Rosales,Rosanae,Dicot,annual,forb,2.14,35.74,62.12,R/SR,1
Aphanes inexspectata W. Lippert,Rosaceae,Rosales,Rosanae,Dicot,annual,forb,9.38,32.67,57.96,R/CSR,1
Aphelandra sinclairiana Nees,Acanthaceae,Lamiales,Asteranae,Dicot,perennial,shrub,60.63,12.45,26.92,C/CSR,7
Apium inundatum Rchb. f.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,2.56,0,97.44,R,1
Apium nodiflorum (L.) Lag. nodiflorum,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,40.05,0,59.95,CR,1
