validScientificName,scientificNameAuthorship,popularName,phylum,order,family,genus,taxonRank,iucnRedListCategory,riskCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,taxonomicStatus,nomenclaturalStatus,New.accepted,Old.name,One.Reason,datasetKey,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,moisture,soilReaction,nitrogen,salinity,grazing.Mowing,calcareousRock,moistMeadow,moistCalcareousMeadow,aesthetics / sense of place,"kowledge and information - cultural relations (local history, stories etc.)",Other Information,Link,biologicalPriority,environmentalPriority,socialPriority,priorityLevel
Anthyllis vulneraria,L.,rundbelg,Tracheophyta,Fabales,Fabaceae,Anthyllis,species,NE,LC,10.427356,63.444124,5,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,"","","",,,,"",3,7,3,1,5,2,0,0,"The flowers are in a dense head and are yellow or orange-yellow, occasionally they can also be red or white.",Unavailable,"Research has shown that the pigment in pod flowers contains flavonoids, which are very interesting compounds with a wide range of medicinal effects.",https://www.rolv.no/urtemedisin/medisinplanter/anth_vul.htm,1,19,1,2
Ribes alpinum var. pilosum,Regel,alperips,Tracheophyta,Saxifragales,Grossulariaceae,Ribes,variety,NE,LC,10.421859,63.445236,23,2021,Unchecked,"",FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,"","","",,,,"",5,7,6,1,2,1,0,0,"Small, greenish-yellow male flowers in upright clusters with glandular hairs",Unavailable,"",https://planteportalen.no/busker/alperips/,1,21,0,2
Hypericum perforatum,L.,prikkperikum,Tracheophyta,Malpighiales,Hypericaceae,Hypericum,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,8.15,21.58,70.27,R/SR,2,5,4,1,4,1,0,0,"Yellow flowers, where the petals are twice as long as the sepals.","Prikkperikum has a great reputation in folklore and was widely used in magical rituals for protection. One had to pick the plant with the left hand, after asking permission. Wearing Prikkperikum protected against fevers and colds, made soldiers invisible and attracted love. Plants gathered on Midsummer's Eve or on a Friday and worn on the body kept mental illness at bay and cured melancholy. When Prikkperikum was placed in a window, it protected against lightning, fire and evil spirits. Both the flowers and the leaves could be used for this purpose. The herb could also be dried over the midsummer bonfire and hung near a window to keep ghosts, sorcerers and other ill-wishers away from the house, and it could be burned to banish spirits and demons.

If the plant was placed under the pillow of an unmarried woman, she would dream of her future husband. The herb could be used in rituals or carried to detect other magicians, and was once held to the mouths of accused witches in an attempt to force a confession.","It has traditionally been used to treat burns, cuts, bruises and wounds. It is also known for its ability to fight depression, anxiety, obsessive-compulsive disorder (OCD), attention deficit-hyperactivity disorder (ADHD), social phobia, and seasonal affective disorder (SAD)8. There was a myth told about this flowering plant5. This plant has marked diversity in strikingly diverse flowers and fruit67. The leaves are either palmately lobed or compound67. The sepals of the flowers are larger than the petals67.",https://www.rolv.no/urtemedisin/medisinplanter/hype_per.htm,1,16,1,2
Hypericum maculatum,Crantz,firkantperikum,Tracheophyta,Malpighiales,Hypericaceae,Hypericum,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,"","","",,,,"",3,3,5,1,4,0,2,0,Quite a few yellow flowers with black dots and stripes. The petals are three times longer than the sepals. The flower buds contain a red-violet substance that stains the fingers if you crush them,Unavailable,It is considered to be a medicinal plant910.,https://www.artsdatabanken.no/Pages/168484/Firkantperikum,1,16,1,2
Juncus bufonius,L.,paddesiv,Tracheophyta,Poales,Juncaceae,Juncus,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Juncus bufonius f. alpinus,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be,Monocot,Annual,"",,,,"",6,4,4,2,5,0,1,1,The flowers are borne in inflorescences and also in the joint where the inflorescence branches off of the stem,Unavailable,Mountain grass,https://en.wikipedia.org/wiki/Juncus_bufonius,1,21,0,2
Clinopodium acinos,Kuntze,"bakkemynte, kransmynte",Tracheophyta,Lamiales,Lamiaceae,Clinopodium,species,NE,LC,10.426189,63.444501,10,2007,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,2.87,50.89,46.23,SR,1,7,3,2,6,2,0,0,"Small, violet flowers with an aromatic scent",Unavailable,Mint- herb are used both folk medicine and Acinos comes from Greek and means fragrant herb,https://www.rolv.no/bilder/galleri/medplant/acin_arv.htm,1,19,1,2
Gagea lutea,Ker Gawl.,gullstjerne,Tracheophyta,Liliales,Liliaceae,Gagea,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,"","","",,,,"",5,6,7,1,5,0,2,0,green-tinged yellow flowers with 6 tepals,Unavailable,"According to the Norwegian Mushroom and Useful Plant Association, golden star contains the toxin tuliposide A, the same toxin found in tulips2.",https://www.miljolare.no/artstre/?or_id=5217,1,24,0,2
Linum catharticum,L.,vill-lin,Tracheophyta,Malpighiales,Linaceae,Linum,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,0.08,36.24,63.68,R/SR,5,7,2,2,7,2,0,2,"White small flowers, which are yellow in the middle.",Unavailable,"a small, spindly plant. Medicine: mild diuretic, anthelmintic, antirheumatic, cleansing and emetic",https://www.rolv.no/urtemedisin/medisinplanter/linu_cat.htm,1,23,0,2
Euphrasia stricta,J.P.Wolff ex J.F.Lehm.,kjerteløyentrøst,Tracheophyta,Lamiales,Orobanchaceae,Euphrasia,species,NE,LC,10.420942,63.445461,100,2023,Accepted,Valid,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,annual,forb,0.9,44.46,54.64,SR,4,5,1,2,7,0,1,1,white or purple flowers with dark blue veins,Unavailable,The local name means eye comfort which was also used as traditional eye medicine but not scientifically proven,https://www.ross.no/2011/07/12/kjerteloyentrost-euphrasia-stricta-2/,1,19,1,2
Rhinanthus minor subsp. minor,"",slåttekall,Tracheophyta,Lamiales,Orobanchaceae,Rhinanthus,subspecies,NE,LC,10.423522,63.445355,1000,1990,Unchecked,"",FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,"",Annual,forb,9.39,44.6,46.02,SR,5,4,2,2,6,0,1,1,Yellow flowers,"Widely used as a calendar mark (MR, NT, ST): """"The old people didn't beat the dew before there was money in the penny grass"""" (Synnylven). """"It should be time to mow when the penny grass was in full bloom"""" (Straumsnes). Children have used the flat, round seed pods as money when playing shop.","",https://www.artsdatabanken.no/Pages/168476/Smaaengkall,1,19,1,2
Veronica serpyllifolia,L.,bleikveronika,Tracheophyta,Lamiales,Plantaginaceae,Veronica,species,"",LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Veronica serpyllifolia var. serpyllifolia,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,"","","",,,,"",5,5,5,2,7,0,2,1,"No remarkeble flower-white, and have dark purple marks on their petals",Unavailable,recognized as a weed of turf grass,https://en.wikipedia.org/wiki/Veronica_serpyllifolia,1,24,0,2
Plantago maritima  subsp. ciliata,Printz,strandkjempe,Tracheophyta,Lamiales,Plantaginaceae,Plantago,subspecies,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Plantago maritima var. salsa,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,"","","",,,,"",3,8,5,3,4,0,0,1,"No remarkeble flower-flowering stems have tiny silvery hairs pressed into the stems, making it appear fuzzy",Unavailable,consider as a wild food,https://trondelagsankeri.no/butikk/alle-produkter/planter/bladgronnsaker/strandkjempe/,1,23,0,2
Nardus stricta var. minor,Guffroy,finnskjegg,Tracheophyta,Poales,Poaceae,Nardus,variety,NE,LC,10.423522,63.445355,1000,1990,Unchecked,"",FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,Monocot,perennial,graminoid,4.77,90.52,4.71,S,6,3,2,1,6,0,3,0,"No remarkeble flower-Narrow and blue-purple to black spikes, where the flowers face the same side","GRASS. Som beitegras har finnskjegg stort sett vært regnet som dårlig, og direkte farlig for hester: ”Merra hev fått troll når den var blitt syk av finnskjegg” (Ørsta). ”Det har henni at hestan har spist ihjæl seg på setervollan” (Meråker). Til tross for dette ble finnskjegg ofte tatt med i skraphøy fra utslåtter, noe som var mest vanlig i Trøndelag og Nordmøre: ”illt å slå når det e my finn” (Rindal), ”finnskjeggen må en slå tri gang (Glåmos), ”hera ho berre nekke te oss” (Tydal). Ble slått te sauene (Glåmos). ”Hèr er så halbett, vanskelig å få ljåen til å bite på” (Harran).”Bustingen flirer a oss” (Leksvik). ”I fjellet vaks det eit slag gras som dei kalla villgras. Ein måtte akta seg vel so ein ikkje kom ut på det, for så gjekk ein seg vill” (Verdal). ”Når stien vokste igjen av dette graset så den vandrende mistet den, var han kommet på villstrå” (Åsen).","",https://www.artsdatabanken.no/Pages/168522/Finnskjegg,1,18,1,2
Anthoxanthum odoratum,L.,gulaks,Tracheophyta,Poales,Poaceae,Anthoxanthum,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,"",perennial,graminoid,8.36,67.45,24.19,S/SR,4,5,4,2,6,0,1,0,No remarkeble flower-flower spikelets (6-10 mm long) that are borne on very short stalks (ie pedicels) 0.5-1 mm long,Unavailable,sweet vernal grass,https://en.wikipedia.org/wiki/Anthoxanthum_odoratum,1,21,0,2
Deschampsia cespitosa,(L.) P.Beauv.,kvassbunke,Tracheophyta,Poales,Poaceae,Deschampsia,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,Monocot,perennial,graminoid,13.46,66.47,20.07,S/SR,7,4,6,2,4,0,3,1,No remarkeble flower-silver-tinted purple flower-heads appear,Unavailable,known as tufted hairgrass or tussock grass,https://en.wikipedia.org/wiki/Deschampsia_cespitosa,1,23,0,2
Hedlundia hybrida,(L.) Sennikov & Kurtto,rognasal,Tracheophyta,Rosales,Rosaceae,Hedlundia,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,"","","",,,,"",3,6,4,2,3,2,0,0,Creamy white flowers gathered in 10 cm wide umbels,Unavailable," a medium-sized deciduous tree growing to 10–15 m tall with a stout trunk up to 60 cm in diameter, and grey bark. The crown is columnar or conic in young trees, becoming rounded with age, with branches angled upwards. The leaves are green above, and densely hairy with white hairs beneath.",https://eliteplanter.no/produkt/sorbus-hybrida-fk-stord-e/,1,18,1,2
Rosa mollis f. atona,Matsson,bustnype,Tracheophyta,Rosales,Rosaceae,Rosa,form,NE,LC,10.421715,63.445212,10,2020,Unchecked,"",FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,"",perennial,shrub,,,,"",3,5,4,1,4,1,0,0,"Rosa mollis with red, pink, purple flowers which usually blossoms in scandinavian countries for approximately 5 weeks from the end of June to July",Unavailable," They were favorite flowers in ancient Egypt, where they used the fragrant petals to freshen up the air, and rose water as perfume. Rosehips are used medicinally, among other things. for its high content of vitamin C and can therefore be used as a remedy for colds and flu. ",https://www.rolv.no/bilder/galleri/medplant/rosa_spp.htm,1,17,1,2
Potentilla crantzii,(Crantz) Fritsch,flekkmure,Tracheophyta,Rosales,Rosaceae,Potentilla,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"",Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,forb,12.29,64.71,23,S/SR,4,6,3,1,5,3,0,0,Yellow flowers with orange spots in the middle,Unavailable,"",https://www.artsdatabanken.no/Pages/168489/Potentilla_crantzii,1,19,0,2
Aria edulis,M.Roem.,sølvasal,Tracheophyta,Rosales,Rosaceae,Aria,species,NE,NT,10.4225,63.4449,71,2004,Accepted,Valid,FALSE,"",Accepted,e45c7d91-81c6-4455-86e3-2965a5739b1f,Dicot,perennial,tree,,,,"",3,6,4,2,3,4,0,0,The flowers are white and sit in broad umbels,Unavailable,"The hermaphrodite cream-white flowers appear in May, are insect pollinated, and go on to produce scarlet berries, which are often eaten by birds.[",https://no.wikipedia.org/wiki/S%C3%B8lvasal,1,18,1,2
Aria rupicola,(Syme) Mezhenskyj,bergasal,Tracheophyta,Rosales,Rosaceae,Aria,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,tree/shrub,,,,"",2,5,3,2,3,2,0,0,The flowers usually appear white .,Unavailable," The plant can be used in a culinary context. shrubs or small trees which grow in rocky woodland, scrub and cliffs, usually on limestone",https://norskflora.no/plante/?sle=Aria&art=rupicola,1,15,1,2
Galium verum,L.,gulmaure,Tracheophyta,Gentianales,Rubiaceae,Galium,species,NE,LC,10.421208,63.445242,5,2023,Accepted,Valid,TRUE,Galium verum f. verum,smallest ID,8a863029-f435-446a-821e-275f4f641165,Dicot,perennial,herbaceous,1.28,71.83,26.89,S/SR,2,5,4,2,5,1,0,0,"The flowers sit in a narrow, dense top, and are beautifully golden yellow and fragrant.","Yellow ant is not an important medicinal plant these days, but there is a lot of information about its use in earlier times. In the Norse saga era, the yellow ant was consecrated to the fertility goddess Frøya and was therefore called frøyagrass. It was believed that placing a bundle of the herb in the maternity bed alleviated pain during childbirth. Placed in the child's cradle, it was supposed to keep witches and sorcery away. From Christian times, we have the legend that it was the sweet-smelling, soft, yellow-flowering ant that the Virgin Mary used in the manger for the baby Jesus. The old folk name Jomfru Marias sengehalm, which is known from many places in the Nordics, refers precisely to this popular legend. The English name of the plant, Lady's Bedstraw, alludes to the same.

The pleasant, honey-like fragrance of the flowers, and the smell of hay from the dried leaves, made this plant suitable for use as a stuffing in mattresses. It was often mixed with other aromatic herbs and ferns to help keep vermin away from the bed.","Yellow ant has also been used as a beer spice, and has also had some use as a dye plant. The root gives wool a beautiful red colour, while alum-stained wool and silk get a bright yellow color from the above-ground parts. As a source of red color.",https://www.rolv.no/urtemedisin/medisinplanter/gali_ver.htm,1,18,1,2
