,,LIGHT,TEMPERATURE,MOISTURE,REACTION,NUTRIENTS,SALINITY
50,Achillea maritima,9.0,x,3.7,6.5,x,3.8
51,Achillea micrantha,8.0,5.8,4.0,NA,NA,NA
52,Achillea micranthoides,8.5,5.8,4.5,NA,NA,NA
53,Achillea millefolium aggr.,7.9,x,4.1,5.8,x,0.9
54,Achillea nana,8.5,1.0,5.0,4.5,1.5,0.0
55,Achillea nobilis,8.0,6.9,3.7,8.0,1.3,0.0
56,Achillea ochroleuca,8.8,6.3,3.4,8.0,1.0,0.0
57,Achillea odorata,9.0,6.0,1.0,8.0,1.0,NA
58,Achillea oxyloba,8.0,2.3,5.0,7.5,2.5,0.0
59,Achillea pannonica,7.7,6.7,4.0,6.5,2.3,0.3
60,Achillea ptarmica,7.5,5.2,7.5,4.2,3.0,0.0
61,Achillea pyrenaica,8.0,3.0,6.5,3.0,3.0,0.0
62,Achillea roseoalba,7.5,6.7,4.0,6.5,6.5,0.0
63,Achillea rupestris,7.0,4.5,2.0,7.0,1.0,0.0
64,Achillea salicifolia,7.5,5.0,8.0,7.0,6.0,0.0
65,Achillea setacea,8.5,6.8,2.5,7.0,1.3,0.8
66,Achillea styriaca,7.0,5.5,4.0,6.0,4.0,0.0
67,Achillea tomentosa,9.0,6.0,4.0,3.0,2.0,0.0
68,Achillea umbellata,8.4,7.0,3.3,7.1,3.2,0.0
69,Achillea virescens,7.0,5.0,3.5,7.0,1.5,0.0
70,Achnatherum bromoides aggr.,7.8,x,3.5,8.0,2.0,0.0
71,Achnatherum calamagrostis,9.0,6.0,3.0,8.3,2.0,0.0
72,Achyranthes sicula,8.0,10.0,2.0,4.0,1.0,0.0
73,Acis autumnalis,9.0,9.0,1.0,5.0,2.0,0.0
74,Acis fabrei,8.0,8.5,4.0,7.0,3.0,0.0
75,Acis longifolia,8.0,8.0,5.0,4.0,4.0,0.0
76,Acis nicaeensis,8.0,8.5,4.0,7.0,3.0,0.0
77,Acis rosea,9.0,9.5,2.0,6.0,3.0,0.5
78,Aconitum angustifolium,9.0,4.0,4.0,6.0,7.0,0.0
79,Aconitum anthora,6.7,x,4.7,7.3,4.5,0.0
80,Aconitum besserianum,5.0,4.8,6.5,NA,NA,NA
81,Aconitum bucovinense,6.5,2.5,7.0,NA,NA,NA
82,Aconitum burnatii,6.0,2.7,7.0,7.0,6.5,0.0
83,Aconitum degenii,5.8,2.7,6.7,7.0,7.0,0.0
84,Aconitum firmum,5.5,3.4,6.9,6.0,6.0,0.0
85,Aconitum lycoctonum,x,4.3,x,7.2,x,0.0
86,Aconitum moldavicum,x,4.3,6.3,6.0,6.0,0.0
87,Aconitum napellus aggr.,6.8,3.1,x,6.9,6.6,0.0
88,Aconitum pilipes,NA,3.0,NA,NA,NA,NA
89,Aconitum variegatum,5.4,4.2,6.5,7.7,6.8,0.0
90,Aconogonon alpinum,7.5,3.3,4.8,4.5,3.0,0.0
91,Acorus calamus,8.0,6.3,9.8,7.0,7.2,0.2
92,Actaea europaea,4.5,4.8,5.4,8.0,7.0,0.0
93,Actaea spicata,2.9,4.5,5.4,6.9,6.6,0.0
94,Acuston lunarioides,8.0,11.0,1.0,9.0,7.0,1.0
95,Adenocarpus complicatus,8.3,7.6,3.4,2.6,2.6,0.0
96,Adenocarpus telonensis,8.0,8.0,4.0,4.0,3.0,0.0
97,Adenophora liliifolia,6.3,6.0,5.5,6.5,3.5,0.0
98,Adenostyles alliariae,5.8,2.9,6.2,6.0,7.8,0.0
99,Adenostyles alpina,x,3.0,6.7,7.3,7.1,0.0
100,Adenostyles leucophylla,7.0,1.5,7.0,2.0,2.0,0.0
101,Adiantum capillus-veneris,x,x,7.6,7.0,2.8,0.0
102,Adonis aestivalis,7.0,6.4,3.5,7.8,3.8,0.0
103,Adonis annua,7.6,x,4.0,6.5,5.0,0.0
104,Adonis cretica,8.0,11.0,3.0,8.0,7.0,0.0
105,Adonis distorta,8.0,4.0,3.0,6.0,2.0,0.0
106,Adonis flammea,7.0,6.4,3.4,8.6,3.2,0.0
107,Adonis microcarpa,7.5,9.0,3.0,x,6.5,0.0
108,Adonis pyrenaica,NA,3.0,NA,NA,NA,NA
109,Adonis vernalis,7.6,x,3.3,7.5,1.5,0.0
110,Adonis volgensis,8.0,5.0,4.0,NA,NA,NA
111,Adoxa moschatellina,4.3,4.8,6.1,6.9,7.3,0.0
112,Aegilops bicornis,9.0,9.0,1.0,7.0,5.0,0.0
113,Aegilops biuncialis,7.8,x,4.4,7.0,5.0,0.0
114,Aegilops caudata,8.0,11.0,4.5,7.5,4.0,0.0
115,Aegilops columnaris,8.0,11.0,5.0,9.0,5.0,NA
116,Aegilops comosa,8.0,11.0,4.0,NA,NA,NA
117,Aegilops cylindrica,8.6,x,2.8,6.0,4.0,0.0
118,Aegilops geniculata,8.7,9.3,3.7,7.0,3.7,0.0
119,Aegilops neglecta,8.0,x,2.9,7.3,5.3,0.0
120,Aegilops peregrina,8.0,11.0,5.0,8.0,5.0,2.0
121,Aegilops speltoides,8.0,9.0,5.0,5.0,5.0,0.0
122,Aegilops triuncialis,8.3,x,2.9,6.3,5.7,0.0
123,Aegilops umbellulata,8.0,11.0,5.0,7.0,5.0,0.0
124,Aegilops uniaristata,9.0,9.0,5.0,5.0,5.0,0.0
125,Aegilops ventricosa,8.5,9.0,2.0,6.0,6.0,0.0
126,Aegonychon calabrum,5.0,8.0,4.0,5.0,3.0,0.0
127,Aegonychon purpurocaeruleum,5.4,x,3.9,7.7,3.9,0.0
128,Aegopodium podagraria,4.9,5.0,6.0,6.7,7.7,0.2
129,Aeluropus lagopoides,8.5,12.0,5.5,8.0,4.5,7.5
130,Aeluropus littoralis,8.6,x,6.1,8.0,6.0,7.3
131,Aeonium arboreum,9.0,10.0,2.0,1.0,1.0,0.0
132,Aeonium decorum,9.0,10.0,2.0,5.0,2.0,0.0
133,Aeonium gomerense,9.0,10.0,2.0,2.0,1.0,1.0
134,Aeonium haworthii,9.0,10.0,2.0,1.0,1.0,0.0
135,Aeonium simsii,9.0,10.0,2.0,2.0,1.0,0.0
136,Aesculus hippocastanum,5.4,6.4,5.5,5.8,6.6,0.0
137,Aethionema arabicum,8.0,11.0,1.0,8.0,2.0,0.0
138,Aethionema saxatile,8.4,x,2.2,8.0,1.6,0.0
139,Aethionema thomasianum,8.0,4.3,2.5,5.5,1.5,0.0
140,Aethusa cynapium,6.3,5.3,5.2,7.5,6.7,0.0
141,Agave americana,8.5,10.0,3.0,7.0,5.5,0.5
142,Agrimonia eupatoria,7.1,x,4.1,7.3,3.9,0.1
143,Agrimonia pilosa,6.5,5.5,6.0,NA,NA,NA
144,Agrimonia procera,5.6,x,5.3,6.5,4.8,0.0
145,Agrimonia repens,NA,6.0,NA,NA,NA,NA
146,Agropyron cristatum,8.4,6.7,2.5,7.3,2.3,0.0
147,Agropyron dasyanthum,8.5,5.5,5.0,NA,NA,NA
148,Agropyron desertorum,8.8,6.7,3.9,7.0,7.0,8.0
149,Agrostemma githago,7.3,5.9,3.9,6.3,5.0,0.0
150,Agrostis alpina,8.1,2.0,5.2,6.0,4.3,0.0
151,Agrostis canina,8.0,5.0,8.4,3.1,2.0,0.0
152,Agrostis capillaris,7.2,4.9,4.9,3.5,3.3,0.0
153,Agrostis castellana,8.3,7.1,x,x,2.7,0.0
154,Agrostis curtisii,8.0,6.0,5.5,2.0,1.3,0.0
155,Agrostis gigantea,7.4,5.1,x,6.8,6.0,0.2
156,Agrostis hesperica,8.5,5.0,7.3,3.0,1.5,0.0
157,Agrostis mertensii,9.0,2.0,5.5,6.0,1.0,0.0
158,Agrostis nevadensis,NA,NA,4.6,NA,NA,NA
159,Agrostis rupestris,7.9,1.8,4.3,2.2,1.0,0.0
160,Agrostis sabulicola,8.5,5.5,5.8,NA,NA,NA
161,Agrostis schleicheri,8.5,2.0,4.6,x,2.5,0.0
162,Agrostis schraderiana,7.0,2.3,5.3,5.3,5.0,0.0
163,Agrostis stolonifera,7.8,x,7.0,x,5.0,0.7
164,Agrostis tileni,9.0,3.0,2.0,2.0,1.0,NA
165,Agrostis vinealis,8.0,x,x,2.6,1.6,0.0
166,Ailanthus altissima,7.1,x,5.1,6.3,7.2,0.3
167,Aira caryophyllea,8.7,6.5,2.4,3.7,1.6,0.0
168,Aira cupaniana,7.5,9.0,2.0,3.0,1.0,0.0
169,Aira elegans,7.5,6.5,4.8,NA,NA,NA
170,Aira elegantissima,8.2,x,2.5,x,1.3,0.0
171,Aira praecox,8.6,6.8,2.2,2.6,1.4,0.0
172,Aira provincialis,8.0,9.0,2.0,3.0,1.0,0.0
173,Aira tenorei,8.0,9.0,2.0,3.0,1.0,0.0
174,Airopsis tenella,8.0,8.0,2.0,4.0,1.0,0.0
175,Aizoanthemopsis hispanica,9.0,11.5,1.0,7.5,5.5,2.0
176,Ajuga chamaepitys,7.5,x,3.6,8.5,x,0.0
177,Ajuga genevensis,7.8,5.6,3.7,7.0,2.3,0.0
178,Ajuga iva,8.0,9.0,3.3,7.7,4.3,0.0
179,Ajuga laxmannii,8.0,6.6,3.5,8.0,2.0,0.0
180,Ajuga orientalis,6.8,x,4.2,x,6.0,0.0
181,Ajuga pyramidalis,7.3,4.0,5.1,1.9,1.4,0.0
182,Ajuga reptans,6.1,x,6.2,x,x,0.0
183,Ajuga tenorei,9.0,4.0,3.0,7.0,2.0,0.0
184,Alcea biennis,8.2,x,4.2,6.6,x,0.2
185,Alcea heldreichii,8.0,6.5,4.5,NA,NA,NA
186,Alcea rosea,8.0,7.1,4.3,6.5,6.5,0.0
187,Alcea rugosa,8.0,5.6,4.8,NA,NA,NA
188,Alcea setosa,8.0,9.5,4.0,6.5,x,0.0
189,Alchemilla acrodon,5.0,3.0,6.0,5.0,7.0,0.0
190,Alchemilla acuminatidens,NA,3.0,NA,NA,NA,NA
191,Alchemilla acutata,7.0,2.5,4.0,5.0,4.0,0.0
192,Alchemilla acutidens,7.0,2.0,6.0,4.0,4.0,0.0
193,Alchemilla acutiloba,6.8,4.1,x,5.5,6.0,0.0
194,Alchemilla aggregata,8.0,2.0,8.0,5.0,3.0,0.0
195,Alchemilla alneti,NA,3.0,NA,NA,NA,NA
196,Alchemilla alpigena,8.3,2.6,5.0,7.0,3.3,0.0
197,Alchemilla alpina,8.6,2.1,4.7,x,2.0,0.0
198,Alchemilla amphibola,NA,2.0,NA,NA,NA,NA
199,Alchemilla amphisericea,8.0,3.0,5.0,8.0,3.0,0.0
200,Alchemilla anisiaca,8.0,2.5,5.0,9.0,3.0,0.0
201,Alchemilla antiropata,NA,2.0,NA,NA,NA,NA
202,Alchemilla argentidens,NA,3.0,NA,NA,NA,NA
203,Alchemilla atrovirens,NA,2.0,NA,NA,NA,NA
204,Alchemilla austroitalica,4.0,6.0,7.0,5.0,5.0,0.0
205,Alchemilla bonae,7.0,4.0,5.0,6.0,5.0,0.0
206,Alchemilla brachetiana,NA,2.0,NA,NA,NA,NA
207,Alchemilla buschii,8.0,4.8,5.5,NA,NA,NA
208,Alchemilla buseri,NA,3.0,NA,NA,NA,NA
209,Alchemilla camptopoda,8.0,4.3,6.0,NA,NA,NA
210,Alchemilla canifolia,NA,3.0,NA,NA,NA,NA
211,Alchemilla carinthiaca,NA,3.0,NA,NA,NA,NA
212,Alchemilla carniolica,7.0,2.5,5.0,6.0,6.0,0.0
213,Alchemilla catalaunica,9.0,2.0,3.0,7.0,1.0,0.0
214,Alchemilla cataractarum,6.0,4.0,8.0,5.0,4.0,0.0
215,Alchemilla cavillieri,7.0,3.0,5.0,5.0,6.0,0.0
216,Alchemilla ceroniana,6.0,6.0,8.0,4.0,4.0,0.0
217,Alchemilla chirophylla,9.0,3.0,3.0,6.0,3.0,0.0
218,Alchemilla cinerea,8.5,2.7,4.5,6.5,2.0,0.0
219,Alchemilla colorata,8.3,2.3,4.0,6.7,2.0,0.0
220,Alchemilla compta,7.0,4.0,5.0,5.0,6.0,0.0
221,Alchemilla conjuncta,8.0,2.3,5.0,7.0,2.0,0.0
222,Alchemilla connivens,7.6,3.7,4.6,6.2,x,0.0
223,Alchemilla controversa,NA,4.0,NA,NA,NA,NA
224,Alchemilla coriacea,7.6,3.3,8.2,4.0,3.0,0.0
225,Alchemilla coruscans,NA,3.0,NA,NA,NA,NA
226,Alchemilla crebridens,7.5,4.3,6.3,NA,NA,NA
227,Alchemilla crinita,7.0,3.6,5.7,4.8,5.0,0.0
228,Alchemilla croatica,7.0,4.0,6.0,8.0,4.0,0.0
229,Alchemilla cuneata,7.0,2.0,6.0,4.0,4.0,0.0
230,Alchemilla curta,NA,3.0,NA,NA,NA,NA
231,Alchemilla curtiloba,NA,3.0,NA,NA,NA,NA
232,Alchemilla cymatophylla,6.8,4.8,7.0,5.0,5.0,0.0
233,Alchemilla debilicaulis,8.0,2.0,5.0,8.0,3.0,0.0
234,Alchemilla decumbens,7.0,2.4,5.8,5.0,4.0,0.0
235,Alchemilla delphinensis,NA,3.0,NA,NA,NA,NA
236,Alchemilla demissa,7.0,2.8,6.5,5.0,3.5,0.0
237,Alchemilla diversiloba,7.0,5.0,6.0,7.0,5.0,0.0
238,Alchemilla effusa,7.8,3.4,8.5,4.3,3.0,0.0
239,Alchemilla eurystoma,NA,3.0,NA,NA,NA,NA
240,Alchemilla exigua,8.3,3.2,4.8,7.8,3.5,0.0
241,Alchemilla exuens,7.5,4.3,6.3,NA,NA,NA
242,Alchemilla fallax,8.0,2.3,5.3,4.7,2.3,0.0
243,Alchemilla federiciana,8.0,1.5,6.0,4.0,3.0,0.0
244,Alchemilla filicaulis,7.5,2.7,7.0,x,4.0,0.0
245,Alchemilla firma,8.0,3.0,5.0,NA,2.0,0.0
246,Alchemilla firmiana,7.0,3.0,5.0,5.0,6.0,0.0
247,Alchemilla fissa,8.1,2.0,6.0,5.3,2.7,0.0
248,Alchemilla fissimima,7.0,3.0,5.0,5.0,6.0,0.0
249,Alchemilla flabellata,8.2,2.0,4.8,2.0,1.3,0.0
250,Alchemilla flavicoma,7.0,2.0,7.0,4.0,4.0,0.0
251,Alchemilla flavovirens,9.0,3.5,3.0,6.0,3.0,0.0
252,Alchemilla flexicaulis,7.0,3.0,5.0,5.0,5.0,0.0
253,Alchemilla florulenta,NA,4.0,NA,NA,NA,NA
254,Alchemilla frigens,7.0,3.0,5.0,5.0,6.0,0.0
255,Alchemilla fulgens,8.0,3.5,5.0,4.5,3.0,0.0
256,Alchemilla fulgida,9.0,3.0,3.0,5.0,1.0,NA
257,Alchemilla gaillardiana,NA,3.0,NA,NA,NA,NA
258,Alchemilla galkinae,NA,1.0,NA,NA,NA,NA
259,Alchemilla gemmia,NA,2.0,NA,NA,NA,NA
260,Alchemilla gingolphiana,NA,4.0,NA,NA,NA,NA
261,Alchemilla glabra,6.6,3.6,6.3,5.0,5.0,0.0
262,Alchemilla glacialis,9.0,2.0,3.0,6.0,3.0,0.0
263,Alchemilla glaucescens,7.6,4.0,5.1,x,3.5,0.0
264,Alchemilla glomerulans,7.0,2.7,5.3,4.7,4.7,0.0
265,Alchemilla grossidens,7.7,2.5,4.3,7.3,2.3,0.0
266,Alchemilla hebescens,7.5,4.3,6.3,NA,NA,NA
267,Alchemilla helvetica,9.0,2.5,4.0,2.0,2.0,0.0
268,Alchemilla heteropoda,7.0,3.0,5.0,5.0,5.0,0.0
269,Alchemilla hirsuticaulis,7.5,4.3,6.8,NA,NA,NA
270,Alchemilla hirsutissima,8.0,4.3,6.0,NA,NA,NA
271,Alchemilla hirtipes,7.0,4.0,5.0,5.0,6.0,0.0
272,Alchemilla hispanica,9.0,4.0,3.0,6.0,1.0,NA
273,Alchemilla hoppeana,8.3,3.0,4.0,7.7,2.7,0.0
274,Alchemilla hoppeaniformis,9.0,2.0,3.0,7.0,1.0,NA
275,Alchemilla hybrida,7.5,2.5,4.5,4.5,3.0,0.0
276,Alchemilla imberbis,8.0,4.3,5.5,NA,NA,NA
277,Alchemilla impexa,7.0,3.5,5.0,5.0,6.0,0.0
278,Alchemilla incisa,7.3,2.8,7.5,7.0,2.8,0.0
279,Alchemilla inconcinna,7.3,3.2,5.8,5.3,5.5,0.0
280,Alchemilla infravallesia,NA,4.0,NA,NA,NA,NA
281,Alchemilla jailae,7.5,4.3,5.3,NA,NA,NA
282,Alchemilla jaquetiana,NA,4.0,NA,NA,NA,NA
283,Alchemilla jugensis,NA,2.0,NA,NA,NA,NA
284,Alchemilla kerneri,8.0,2.3,5.0,NA,NA,0.0
285,Alchemilla lasenii,7.0,2.5,7.0,7.0,4.0,0.0
286,Alchemilla leptoclada,7.0,3.0,5.0,8.0,5.0,0.0
287,Alchemilla leutei,NA,3.0,NA,NA,NA,NA
288,Alchemilla lineata,7.0,3.7,5.0,5.5,5.5,0.0
289,Alchemilla lithophila,8.0,4.3,5.3,NA,NA,NA
290,Alchemilla longana,7.7,2.8,5.3,5.7,5.0,0.0
291,Alchemilla longinodis,NA,3.0,NA,NA,NA,NA
292,Alchemilla longituba,NA,4.0,NA,NA,NA,NA
293,Alchemilla longiuscula,7.0,3.0,5.0,5.0,6.0,0.0
294,Alchemilla lucida,7.0,3.5,6.0,3.0,4.0,0.0
295,Alchemilla lunaria,6.0,2.7,6.5,6.5,7.0,0.0
296,Alchemilla marsica,7.0,4.0,5.0,6.0,7.0,0.0
297,Alchemilla martinii,7.0,3.0,6.0,4.0,4.0,0.0
298,Alchemilla matreiensis,NA,3.0,NA,NA,NA,NA
299,Alchemilla maureri,NA,3.0,NA,NA,NA,NA
300,Alchemilla micans,7.0,3.8,5.8,5.7,5.3,0.0
301,Alchemilla mollis,7.0,6.0,6.0,5.0,6.0,0.0
302,Alchemilla monticola,6.7,3.9,x,5.4,4.5,0.0
303,Alchemilla multidens,NA,3.0,NA,NA,NA,NA
304,Alchemilla murisserica,NA,3.0,NA,NA,NA,NA
305,Alchemilla nemoralis,6.5,4.5,6.5,NA,NA,NA
306,Alchemilla niphogeton,7.0,2.0,7.0,5.0,5.0,0.0
307,Alchemilla nitida,9.0,3.0,3.0,6.0,3.0,0.0
308,Alchemilla norica,NA,3.0,NA,NA,NA,NA
309,Alchemilla nydeggeriana,7.0,3.5,8.0,5.0,6.0,0.0
310,Alchemilla obscura,NA,4.0,NA,NA,NA,NA
311,Alchemilla obtusa,7.0,3.2,5.8,4.3,4.5,0.0
312,Alchemilla opaca,9.0,2.5,3.0,2.0,3.0,0.0
313,Alchemilla othmarii,7.0,3.5,5.3,6.7,3.0,0.0
314,Alchemilla paicheana,NA,3.0,NA,NA,NA,NA
315,Alchemilla pallens,7.7,2.5,5.3,6.7,4.0,0.0
316,Alchemilla pentaphyllea,7.0,1.5,6.7,2.7,3.3,0.0
317,Alchemilla pentaphylloides,NA,2.0,NA,NA,NA,NA
318,Alchemilla petiolulans,NA,3.0,NA,NA,NA,NA
319,Alchemilla petraea,NA,3.0,NA,NA,NA,NA
320,Alchemilla phegophila,8.0,4.3,5.5,NA,NA,NA
321,Alchemilla philonotis,NA,3.0,NA,NA,NA,NA
322,Alchemilla platygyria,NA,3.0,NA,NA,NA,NA
323,Alchemilla plicata,6.5,3.3,5.5,5.5,6.0,0.0
324,Alchemilla propinqua,7.0,3.6,5.9,6.0,7.0,0.0
325,Alchemilla racemulosa,NA,4.0,NA,NA,NA,NA
326,Alchemilla radiisecta,8.0,1.5,5.0,4.0,3.0,0.0
327,Alchemilla reniformis,7.3,3.3,7.7,4.3,3.3,0.0
328,Alchemilla rhodondendrophila,6.5,2.7,5.0,6.0,5.0,0.0
329,Alchemilla rubristipula,7.0,4.0,4.5,6.0,4.0,0.0
330,Alchemilla sabauda,NA,2.0,NA,NA,NA,NA
331,Alchemilla saliceti,NA,3.0,NA,NA,NA,NA
332,Alchemilla sarmatica,7.5,3.8,6.3,NA,NA,NA
333,Alchemilla saxatilis,9.0,3.0,3.0,2.0,2.0,0.0
334,Alchemilla saxetana,NA,3.0,NA,NA,NA,NA
335,Alchemilla schmidelyana,7.0,3.0,5.0,5.0,5.0,0.0
336,Alchemilla semihirta,NA,3.0,NA,NA,NA,NA
337,Alchemilla semisecta,7.0,3.0,5.0,5.0,6.0,0.0
338,Alchemilla sericoneura,7.3,3.5,5.0,6.0,5.0,0.0
339,Alchemilla sierrae,9.0,4.0,4.0,5.0,1.0,NA
340,Alchemilla sinuata,7.0,3.3,5.0,5.7,5.3,0.0
341,Alchemilla speciosa,7.0,6.0,6.0,5.0,6.0,0.0
342,Alchemilla splendens,8.0,2.0,5.0,6.0,2.0,0.0
343,Alchemilla squarrosula,NA,3.0,NA,NA,NA,NA
344,Alchemilla stevenii,8.0,4.0,5.5,NA,NA,NA
345,Alchemilla stiriaca,NA,3.0,NA,NA,NA,NA
346,Alchemilla straminea,7.3,3.5,8.3,4.3,3.7,0.0
347,Alchemilla strigosula,7.0,3.6,5.0,5.0,5.5,0.0
348,Alchemilla subalpina,9.0,4.0,4.0,4.0,1.0,NA
349,Alchemilla subcrenata,7.1,3.8,5.1,5.2,5.7,0.0
350,Alchemilla subglobosa,6.0,3.5,6.0,6.0,7.0,0.0
351,Alchemilla subsericea,8.5,2.0,4.0,3.0,3.0,0.0
352,Alchemilla szaferi,8.0,3.8,7.0,NA,NA,NA
353,Alchemilla tenerrima,7.0,2.0,4.0,3.0,2.0,0.0
354,Alchemilla tenuis,7.4,3.5,x,5.2,x,0.0
355,Alchemilla tirolensis,7.0,3.3,5.0,6.3,5.3,0.0
356,Alchemilla transiens,8.7,2.8,4.0,3.0,2.3,0.0
357,Alchemilla trullata,NA,2.0,NA,NA,NA,NA
358,Alchemilla trunciloba,7.0,3.5,5.3,6.0,6.0,0.0
359,Alchemilla tytthantha,8.0,4.5,6.8,NA,NA,NA
360,Alchemilla undulata,7.0,3.3,5.0,5.0,5.5,0.0
361,Alchemilla vaccariana,9.0,2.0,3.0,2.0,3.0,0.0
362,Alchemilla velebitica,8.5,3.0,5.0,7.5,3.0,0.0
363,Alchemilla venosula,8.0,1.5,6.0,2.0,3.0,0.0
364,Alchemilla versipila,7.5,3.0,5.0,8.0,4.5,0.0
365,Alchemilla vetteri,8.0,3.0,4.5,6.5,5.5,0.0
366,Alchemilla vinacea,7.5,4.5,6.5,NA,NA,NA
367,Alchemilla vulgaris aggr.,7.0,3.7,5.5,5.5,6.0,0.0
368,Alchemilla westermaieri,NA,3.0,NA,NA,NA,NA
369,Alchemilla wichurae,7.0,NA,5.0,5.0,3.0,0.0
370,Alchemilla xanthochlora,6.5,3.9,6.0,5.9,x,0.0
371,Alchemilla zapalowiczii,8.0,3.8,7.0,NA,NA,NA
372,Aldrovanda vesiculosa,5.9,7.6,11.5,5.8,4.0,0.0
373,Alhagi maurorum,8.0,11.0,4.0,8.0,5.0,2.0
374,Alisma gramineum,7.2,6.8,10.4,6.5,4.8,0.2
375,Alisma lanceolatum,7.3,x,10.1,6.6,5.9,0.1
376,Alisma plantago-aquatica,6.9,x,10.1,6.4,7.3,0.1
377,Alkanna lutea,8.0,9.0,4.0,4.0,3.0,0.0
378,Alkanna sieberi,8.0,11.0,3.0,8.0,7.0,0.0
379,Alkanna tinctoria,8.0,9.7,1.7,7.3,x,0.3
380,Alliaria petiolata,5.2,5.9,5.4,7.3,8.0,0.0
381,Allium acutiflorum,7.0,7.3,3.5,7.0,3.5,0.0
382,Allium aegilicum,NA,11.0,NA,8.0,3.0,2.0
383,Allium aetnense,8.0,6.0,2.0,3.0,2.0,0.0
384,Allium amethystinum,7.5,10.0,3.0,6.5,6.5,0.0
385,Allium ampeloprasum,7.8,x,3.9,6.6,6.1,0.3
386,Allium angulosum,7.8,6.1,7.7,7.6,3.6,0.4
387,Allium archeotrichon,6.0,11.0,4.0,8.0,5.0,0.0
388,Allium atropurpureum,7.0,8.0,4.0,7.0,6.0,0.0
389,Allium atroviolaceum,7.5,x,3.5,5.5,4.5,0.0
390,Allium bourgeaui,8.0,11.0,2.0,8.0,4.0,1.0
391,Allium brachyspathum,NA,12.0,NA,9.0,3.0,2.0
392,Allium callimischon,8.0,11.0,3.0,8.0,3.0,0.0
393,Allium carinatum,7.9,5.8,3.5,7.3,2.6,0.2
394,Allium cepa,7.7,7.7,5.0,5.7,6.7,0.0
395,Allium chamaemoly,7.5,9.0,3.0,7.0,3.0,0.0
