validScientificName,scientificNameAuthorship,popularName,phylum,order,family,genus,taxonRank,iucnRedListCategory,riskCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,taxonomicStatus,nomenclaturalStatus,New.accepted,Old.name,One.Reason,datasetKey,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority,biodiversityRelevance,nectarProduction,heatRequirement,coldRequirement,tempOptimum,continentality,light,moisture,soilReaction,nitrogen,phosphorus,salinity,grazing.Mowing,soilDisturbance,longevity,pollinatorDependence,phenology,extremePhenology,seedDormancy,seedBank,seedDisperser,nitrogenFixation,photosyntheticPathway,mycorrhiza,carnivory,parasitism,siliceousRock,ultrabasicRock,calcareousRock,dryHeath,dryMeadow,steppicMeadow,sandSteppe,moistHeath,moistMeadow,moistCalcareousMeadow,raisedBog,poor.AcidicFen,intermediate.RichFen,rich.CalcareousFen,tallHerb.Sedge.ReedMeadow,oligotrophicWater.Shores,mesotrophicWater.Shores,eutrophicWater.Shores,sandy.Stony.RockySeaShores,seaShoreMeadows,base.PoorWasteland,base.RichWasteland,arableLand,gravellyGround,ruderal,hedgerows.Thickets.Wood.MarginsandGroves,heath.TypeDeciduousForest,intermediateDeciduousForest,herb.RichDeciduousForest,alnusGlutinosaSwamp,fraxinus.Ulmus.AlnusIncanaSwamp,pinus.BetulaSwamp,piceaSwamp,heath.TypeConiferousForest,vaccinium.TypeConiferousForest,herb.RichConiferousForest,cacareousConiferForest,subalpineBetulaForest,aesthetics / sense of place,"kowledge and information - cultural relations (local history, stories etc.)",Other Information,Link,biologicalPriority,environmentalPriority,socialPriority,priorityLevel
Sagina procumbens,L.,tunarve,Tracheophyta,Caryophyllales,Caryophyllaceae,Sagina,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Sagina procumbens var. compacta,,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,,,,,R*,,1,1,3,2,8,5,5,4,6,6,5,2,5,7,4,0c,7,2,,4,Passive,0,C3,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,flowers usually appear white,Unavailable,"A perennial or subshrub or common weed that grows primarily in the temperate biome1, It has environmental uses1. It’s also known as bird’s-eye pearlwort2. ",https://en.wikipedia.org/wiki/Sagina_procumbens,1,23,1,1
Cerastium fontanum,Baumg.,arve,Tracheophyta,Caryophyllales,Caryophyllaceae,Cerastium,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,forb,10.47,12.32,77.21,R/SR,1,4,3,3,2,8,5,5,6,6,5,3,2,6,6,3,0c,6,3,,4,Passive,0,C3,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,white flowers sit many together on short stalks in a tassel,Unavailable,"Native to Europe but introduced elsewhere3. It’s used in phylogenetic studies4. Known as mouse-ear chickweed, it is a species of mat-forming perennial or, rarely, annual plant3. It has tear-shaped leaves growing opposite one another in a star pattern, hairy leaves, and small white flowers3.",,1,25,1,1
Arenaria serpyllifolia,L.,sandarve,Tracheophyta,Caryophyllales,Caryophyllaceae,Arenaria,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,forb,0,45.38,54.62,SR,1,3,3,8,2,5,4,7,3,6,4,4,1,6,7,2,0c,7,2,2,3,Passive,0,C3,None,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,flowers sit in a tassel and are small and white,Unavailable,"Known as thyme-leaf sandwort, it is an annual or biennial flowering plant in the pink and carnation family Caryophyllaceae7. It has linear, grey-green glabrous and glaucous leaves8.",https://snl.no/sandarve,1,20,1,1
Silene uniflora,Roth,strandsmelle,Tracheophyta,Caryophyllales,Caryophyllaceae,Silene,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,,,,,,,,,4,4,3,4,10,4,7,5,7,5,5,3,3,5,4,1ab,7,2,,,Passive,0,C3,None,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"flowers white with five deeply notched petals, the 5 sepals fused and inflated to form a bladder",Unavailable,"Native to Eurasia but it is widespread around other parts of the temperate world as an introduced species and a common weed10. It’s used in biogeographical studies11.Known as sea campion, it is a low-growing, semi-evergreen perennial forming a mat of smooth, blue-green, waxy leaves which are lanceolate, stalkless and borne in opposite pairs10. It has white flowers with five deeply notched petals10.",https://no.wikipedia.org/wiki/Strandsmelle,1,23,1,1
Sedum acre  subsp. majus,(Masters) R.T.Clausen,bitterbergknapp,Tracheophyta,Saxifragales,Crassulaceae,Sedum,subspecies,NE,LC,10.427078,63.444116,10,2012,Accepted,Valid,TRUE,Sedum acre var. majus,,b124e1e0-4755-430f-9eab-894f25a9b59c,,,,,,,,,3,5,5,2,7,4,7,1,6,4,3,2,5,4,4,1,8,1,,2,Passive,0,CAM,None,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Golden yellow, five-numbered, star-shaped flowers are formed in tassel-shaped inflorescences",Unavailable,"The plant has been used in signature medicine , and because of its bitter taste, it has been used against open wounds, warts and pimples . It’s also known as bird’s-eye pearlwort2.",https://no.wikipedia.org/wiki/Bitterbergknapp,1,18,1,2
Juniperus communis,L.,einer,Tracheophyta,Pinales,Cupressaceae,Juniperus,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be,Gymnosperm,perennial,shrub,0,86.61,13.39,S,1,5,1,5,3,8,5,5,4,4,2,1,2,5,2,4,0b,6,3,,1,Bird,0,C3,AM/EM,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Tree,Unavailable,"An evergreen conifer, it has the largest geographical range of any woody plant, with a circumpolar distribution throughout the cool temperate Northern Hemisphere3. Male plants have tiny, yellow cones that shed wind-dispersed pollen. Female plants have berry-like, fleshy seed cones that become purple-black, with a waxy bloom, on maturity4.",https://www.rolv.no/urtemedisin/medisinplanter/juni_com.htm,1,17,1,2
Carex ornithopoda,Willd.,fuglestarr,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,LC,10.421841,63.445188,5,2022,Accepted,Valid,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,Monocot,perennial,graminoid,8.31,70.99,20.71,S/SR,1,4,1,3,7,12,4,4,5,8,2,2,1,5,6,4,0b,5,4,,2,Passive,0,C3,None,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,flower spikes are russet in colour,Unavailable,"Known as bird’s foot sedge, it is a species of flowering plant in the genus Carex7. A variegated cultivar is commercially available7.",https://www.backyardgardener.com/plantname/carex-ornithopoda-birds-foot-sedge/,1,21,1,1
Equisetum pratense,Ehrh.,engsnelle,Tracheophyta,Equisetales,Equisetaceae,Equisetum,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,,,,,,,,,1,1,3,6,11,5,2,6,6,5,4,1,2,1,4,0b,6,3,,,AirD,0,C3,AM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,2,0,1,whitish-green and slender sterile stems,Unavailable,"Commonly known as meadow horsetail, shade horsetail or shady horsetail. It can be commonly found in forests with tall trees or very thick foliage that can provide shade and tends to grow closer and thicker around streams, ponds and rivers1.2",https://en.wikipedia.org/wiki/Equisetum_pratense,1,20,1,1
Lotus corniculatus,L.,tiriltunge,Tracheophyta,Fabales,Fabaceae,Lotus,species,NE,LC,10.420942,63.445461,100,2023,Accepted,Valid,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,14.21,18.98,66.81,R/SR,1,5,3,3,2,8,3,6,3,5,3,2,2,6,3,4,2a,7,2,3,4,Expl,1,C3,AM,0,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The inflorescence contains 3-7 flowers with a yellow crown that is often red-striped and occasionally fire-red on the outside,"Despite its cheerful appearance, the bird’s-foot trefoil symbolizes a warning of revenge in the Victorian language of flowers9.7. The scientific genus name Lotus is an old name for beautiful and useful plants, and is first mentioned by Homer ca. year 800 BC Corniculatus means ""with small horns"", and comes from the fact that the empty, cracked pods resemble small antelope horns.

It is uncertain how the Norwegian name tiril tongue may have arisen, but it could possibly be a comparison between the inflorescence, or preferably the fruit stand, and a tiril (or turul ), the kernel stick that was formerly used in the upright, cylindrical butter kernels. Tongue refers to the tongue-shaped fan in each individual flower.","In folk medicine in Norway, the plant has been used to a small extent. To the extent that it was used, it was either in the form of a spirit extract of the flowers, or dried leaves and pods were used as tea, which was supposed to be good stomach medicine. The root of tiril tongue has been used as a blood purifier.",https://www.rolv.no/urtemedisin/medisinplanter/lotu_cor.htm,1,19,1,2
Anthyllis vulneraria,L.,rundbelg,Tracheophyta,Fabales,Fabaceae,Anthyllis,species,NE,LC,10.427356,63.444124,5,2020,Accepted,Valid,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,,,,,,,,,4,5,3,2,8,4,7,3,7,3,3,1,5,4,3,1a,7,2,2,4,Passive,1,C3,AM,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The flowers are in a dense head and are yellow or orange-yellow, occasionally they can also be red or white.",Unavailable,"Research has shown that the pigment in pod flowers contains flavonoids, which are very interesting compounds with a wide range of medicinal effects.",https://www.rolv.no/urtemedisin/medisinplanter/anth_vul.htm,1,19,1,2
Lathyrus niger,(L.) Bernh.,svarterteknapp,Tracheophyta,Fabales,Fabaceae,Lathyrus,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,,,,,,,,,4,5,10,3,5,4,4,3,6,2,4,1,2,3,4,2a,7,2,3,1,Expl,1,C3,AM,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,red-violet flowers and black pods,Unavailable,,https://snl.no/svarterteknapp,1,14,0,3
Ribes alpinum var. pilosum,Regel,alperips,Tracheophyta,Saxifragales,Grossulariaceae,Ribes,variety,NE,LC,10.421859,63.445236,23,2021,Unchecked,,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,,,,,,,,,5,5,8,4,7,5,4,5,7,6,4,1,2,2,4,1,5,4,,,Bird,0,C3,AM/EM,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,2,0,"Small, greenish-yellow male flowers in upright clusters with glandular hairs",Unavailable,,https://planteportalen.no/busker/alperips/,1,21,0,2
Hypericum perforatum,L.,prikkperikum,Tracheophyta,Malpighiales,Hypericaceae,Hypericum,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,8.15,21.58,70.27,R/SR,1,4,2,9,2,5,5,6,2,5,4,2,1,4,5,4,1,9,2,2,4,AirD,0,C3,AM,0,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yellow flowers, where the petals are twice as long as the sepals.","Prikkperikum has a great reputation in folklore and was widely used in magical rituals for protection. One had to pick the plant with the left hand, after asking permission. Wearing Prikkperikum protected against fevers and colds, made soldiers invisible and attracted love. Plants gathered on Midsummer's Eve or on a Friday and worn on the body kept mental illness at bay and cured melancholy. When Prikkperikum was placed in a window, it protected against lightning, fire and evil spirits. Both the flowers and the leaves could be used for this purpose. The herb could also be dried over the midsummer bonfire and hung near a window to keep ghosts, sorcerers and other ill-wishers away from the house, and it could be burned to banish spirits and demons.

If the plant was placed under the pillow of an unmarried woman, she would dream of her future husband. The herb could be used in rituals or carried to detect other magicians, and was once held to the mouths of accused witches in an attempt to force a confession.","It has traditionally been used to treat burns, cuts, bruises and wounds. It is also known for its ability to fight depression, anxiety, obsessive-compulsive disorder (OCD), attention deficit-hyperactivity disorder (ADHD), social phobia, and seasonal affective disorder (SAD)8. There was a myth told about this flowering plant5. This plant has marked diversity in strikingly diverse flowers and fruit67. The leaves are either palmately lobed or compound67. The sepals of the flowers are larger than the petals67.",https://www.rolv.no/urtemedisin/medisinplanter/hype_per.htm,1,16,1,2
Hypericum maculatum,Crantz,firkantperikum,Tracheophyta,Malpighiales,Hypericaceae,Hypericum,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,FALSE,,Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,,,,,,,,,3,2,5,4,9,5,5,3,3,5,3,1,4,5,4,1,10,3,,3,AirD,0,C3,AM,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Quite a few yellow flowers with black dots and stripes. The petals are three times longer than the sepals. The flower buds contain a red-violet substance that stains the fingers if you crush them,Unavailable,It is considered to be a medicinal plant910.,https://www.artsdatabanken.no/Pages/168484/Firkantperikum,1,16,1,2
Juncus gerardii,Loisel.,saltsiv,Tracheophyta,Poales,Juncaceae,Juncus,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,Monocot,perennial,graminoid,9.38,67.98,22.63,S/SR,1,4,1,7,3,7,5,7,9,8,5,3,4,5,3,4,0b,10,3,,4,Passive,0,C3,None,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, The flowers sit in a tassel at the top of the stem,Unavailable,"This plant is a loosely tufted herb from short to elongate, extensive rhizomes. Stems are erect, 25-75 cm long[11. Leaves are located on the lower parts of the stem extending at least halfway up, flat, 1.5-3 mm wide[11. Flowers are bright pink and star-shaped with five petals[11.  Cattle may eat saltmarsh rush, but other livestock avoid it. Rabbits sometimes eat its flowers[11.  Saltmarsh rush inhabits salt marshes but has spread away from the coast along salted roadways[12.  It is now found in Vermont where it is introduced[11.  It is mainly a coastal species occurring at the high tide mark on the Mediterranean Atlantic Baltic and Black sea shorelines of Europe and the east coast of North America[12.  It also occurs inland in parts of eastern Europe west and central Asia particularly on saline soils[12.  In North America it occurs along the shorelines of areas once flooded by the sea and as a weed along railway lines for example in Minnesota[12.  In Indiana it is the only Juncus species found in the Tipton Till Plain a Till Plain in the Glacial till plains[12.  It is native to Europe and Western Asia where it grows in moist meadows[8.  Description Hypericum maculatum is a hairless perennial herbaceous plant growing to about 60 cm. The stem is square in cross section but without the wings shown in H. tetrapterum. The leaves are simple entire (undivided) and in opposite pairs without stipules and have few or no translucent glands. There may be black dots on the leaves petals and sepals 1 The flowers are yellow up to about 25mm across. The species hybridises with Hypericum perforatum to produce Des Etang’s St John’s wort Hypericum x desetangsii 1 Uses It is considered to be a medicinal plant 4 Hypericum maculatum herb has been used in the traditional Austrian medicine internally as tea or oil extract and externally as oil extract ointment or cold maceration in ethanol for treatment of disorders of the skin locomotor system nervous system gastrointestinal tract respiratory tract kidneys and urinary tract cardiovascular system infections rheumatism and gout. References ^ a b c Stace C. A. (2010). New Flora of the British Isles (Third ed.). Cambridge U.K.: Cambridge University Press. ISBN 9780521707725. ^ BSBI List 2007 (xls). Botanical Society of Britain and Ireland. Archived from the original (xls) on 2015-06-26. Retrieved 2014-10-17. ^ USDA NRCS (n.d.). ""Hypericum maculatum"". The PLANTS Database (plants.usda.gov). Greensboro North Carolina: National Plant Data Team. Retrieved 15 May 2015. ^ Băcilă I. et al. (2010). Micropropagation of Hypericum maculatum Cranz an important medicinal plant. Rom Biotechnol Lett 15 86-91. \n This Poales -related article is a stub. You can help Wikipedia by expanding it."",“Hypericum / ˌhaɪˈpiːrɪkəm / is a genus of flowering plants in the family Hypericaceae (formerly considered a subfamily of Clusiaceae ). 34 The genus has a nearly worldwide distribution missing only from tropical lowlands deserts and polar regions. 5 Many Hypericum species are regarded as invasive species and noxious weeds.”],“url”:“9”},{“title”:“E-Flora BC: Electronic Atlas of the Flora of BC - University of British …”,“snippets”:[“General: Perennial, loosely tufted herb from short to elongate, extensive rhizomes; stems erect, 25-75 cm long. Leaves: Located on the lower parts of the stem extending at least halfway up, flat, 1.5-3 mm wide, lacking cross-walls, with ear-shaped lobes.”],“url”:“13”}]}",https://snl.no/saltsiv,1,31,1,1
Juncus bufonius,L.,paddesiv,Tracheophyta,Poales,Juncaceae,Juncus,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Juncus bufonius f. alpinus,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be,Monocot,Annual,,,,,,,4,1,5,1,6,5,5,6,4,4,3,2,5,8,1,0c,10,3,,4,Passive,0,C3,None,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The flowers are borne in inflorescences and also in the joint where the inflorescence branches off of the stem,Unavailable,Mountain grass,https://en.wikipedia.org/wiki/Juncus_bufonius,1,21,0,2
Clinopodium acinos,Kuntze,"bakkemynte, kransmynte",Tracheophyta,Lamiales,Lamiaceae,Clinopodium,species,NE,LC,10.426189,63.444501,10,2007,Accepted,Valid,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,2.87,50.89,46.23,SR,1,2,5,8,2,5,5,7,1,7,3,1,2,6,7,4,2a,9,2,,4,Passive,0,C3,AM,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small, violet flowers with an aromatic scent",Unavailable,Mint- herb are used both folk medicine and Acinos comes from Greek and means fragrant herb,https://www.rolv.no/bilder/galleri/medplant/acin_arv.htm,1,19,1,2
